n,stopping_time,max_excursion_log,odd_even_ratio,entropy,compression_ratio,excursion_normalized,up_down_ratio,variance_log,peak_late,omega,steps
16385,53.0,4.691585370487775,0.38461538461538464,0.876716288999464,3.785690475768137,3.000061031431187,0.38461538461538464,1.8382910269023096,0.018518518518518517,STABLE,53
40962,181.0,4.788486548560839,0.5423728813559322,0.9402859586706311,11.81308036023031,1.5000244128704654,0.5423728813559322,0.8054025344805438,0.01098901098901099,STABLE,181
40963,181.0,5.265612515268197,0.5423728813559322,0.9402859586706311,11.813053206166884,4.500061030686229,0.5423728813559322,0.8508761318915623,0.016483516483516484,STABLE,181
40964,181.0,4.919627153833269,0.5423728813559322,0.9402859586706311,11.813026052891173,2.028708133971292,0.5423728813559322,0.8166254310401265,0.16483516483516483,STABLE,181
32774,54.0,4.867732579958376,0.375,0.8698926856041562,3.5999366072356014,2.2500762799780314,0.375,1.793432342958268,0.07272727272727272,STABLE,54
16391,53.0,5.043931793125701,0.38461538461538464,0.876716288999464,3.785547652887164,6.750289793179184,0.38461538461538464,2.1115814240139588,0.09259259259259259,STABLE,53
49159,96.0,5.520914338257398,0.4696969696969697,0.9148210087144519,6.159702630097124,6.750096625236478,0.4696969696969697,1.7816583214005388,0.05154639175257732,STABLE,96
40966,181.0,4.964622569435634,0.5423728813559322,0.9402859586706311,11.812971748702726,2.2500610262168625,0.5423728813559322,0.8543119068182486,0.02197802197802198,STABLE,181
8204,39.0,3.965342835560622,0.3333333333333333,0.8485481782946158,2.9995127461178255,1.1253047294002925,0.3333333333333333,1.159876551023142,0.125,STABLE,39
24588,113.0,4.441930674550171,0.5,0.9268190639645772,7.747331800730092,1.1251016756141208,0.5,0.7592163949775537,0.043859649122807015,STABLE,113
32786,54.0,4.919062394701467,0.375,0.8698926856041562,3.599809863210117,2.5314463490514245,0.375,2.1358412897373458,0.16363636363636364,STABLE,54
49171,52.0,5.344928424020391,0.358974358974359,0.859531691450293,3.3364302088433346,4.500050842976552,0.358974358974359,2.5583353660846995,0.05660377358490566,STABLE,52
40980,150.0,4.612582551653833,0.5252525252525253,0.9349520981652116,9.789440641636252,1.0,0.5252525252525253,0.6540531543626223,0.0,STABLE,150
24597,157.0,4.868015166625768,0.5339805825242718,0.9379626436434423,10.763602346898978,3.0000406553644754,0.5339805825242718,0.6410298595255663,0.006329113924050633,STABLE,157
