n,cluster,length,max_log,stopping_time,event_entropy,event_compression,peak_count,return_count,cycle_count,avg_run_length,max_run_length,up_ratio,unique_values,fractal_like
32955,4,122,5.222302784225702,121,1.5907457350626624,0.9726027397260274,3,95,0.0,1.028169014084507,3,0.1872146118721461,122,1.0
32956,4,161,5.603089134647177,160,1.6270912970333096,0.9800664451827242,7,134,0.0,1.0203389830508474,3,0.18604651162790697,161,1.0
32959,2,122,5.875564174634383,121,1.6598794213380783,0.9626168224299065,6,87,0.0,1.0388349514563107,4,0.19158878504672897,122,1.0
41154,5,89,4.89285673286193,88,1.5460166941076254,1.0,2,80,0.0,1.0,1,0.16470588235294117,89,1.0
198,0,27,2.6522463410033232,26,1.6252874557137966,0.9803921568627451,2,23,0.0,1.02,2,0.13725490196078433,27,1.0
213,0,14,2.8068580295188172,13,1.5195563653739033,0.96,1,11,0.0,1.0416666666666667,2,0.08,14,1.0
41173,0,32,5.091740798962547,31,1.4637270325236298,0.9836065573770492,1,29,0.0,1.0166666666666666,2,0.09836065573770492,32,1.0
41174,4,151,5.1203139347289115,150,1.549577549710982,0.9931506849315068,3,139,0.0,1.006896551724138,2,0.1780821917808219,151,1.0
49368,3,265,5.989183196502892,264,1.6461091993662338,0.9706498951781971,11,202,0.0,1.0302375809935205,3,0.20125786163522014,265,1.0
16602,2,98,4.982076661723761,97,1.6636695545106865,0.9720670391061452,6,76,0.0,1.028735632183908,3,0.1787709497206704,98,1.0
8411,2,66,4.805371706011885,65,1.656433442631097,0.9576271186440678,4,49,0.0,1.0442477876106195,3,0.1694915254237288,66,1.0
8415,1,110,5.538504613154735,109,1.7354841201143656,0.9235294117647059,8,53,0.0,1.0828025477707006,3,0.21764705882352942,110,1.0
49380,0,53,4.693559880453842,52,1.4201793358045587,1.0,0,52,0.0,1.0,1,0.1346153846153846,53,1.0
24808,6,158,4.394609259103546,157,1.4671760778695433,1.0,0,157,0.0,1.0,1,0.1751592356687898,158,1.0
233,1,84,3.965342835560622,83,1.7653454946155143,0.8695652173913043,9,23,0.0,1.15,4,0.25217391304347825,84,1.0
49386,6,115,4.869706836140815,114,1.4954165085266498,1.0,1,113,0.0,1.0,1,0.16666666666666666,115,1.0
41199,2,89,6.19972035552973,88,1.7130704097855882,0.9627329192546584,8,65,0.0,1.038709677419355,6,0.17391304347826086,89,1.0
16624,0,67,4.220761653975142,66,1.4424818181915764,1.0,0,66,0.0,1.0,1,0.15151515151515152,67,1.0
8433,5,84,4.403137686626381,83,1.5135832666815703,0.9876543209876543,1,78,0.0,1.0125,2,0.16666666666666666,84,1.0
49399,4,146,5.523029419325123,145,1.551111879690704,0.9893617021276596,3,134,0.0,1.010752688172043,3,0.1773049645390071,146,1.0
33020,4,174,5.354087300405963,173,1.6131192228363858,0.9844236760124611,6,142,0.0,1.0158227848101267,3,0.19003115264797507,174,1.0
8451,5,58,4.58016058341998,57,1.5704155028917293,0.981651376146789,2,50,0.0,1.0186915887850467,3,0.1559633027522936,58,1.0
24837,6,158,4.872232049066857,157,1.4965317800238143,0.9968051118210862,1,155,0.0,1.0032051282051282,2,0.1757188498402556,158,1.0
24838,6,158,4.747326339024257,157,1.5179827562234696,0.9968051118210862,2,154,0.0,1.0032051282051282,2,0.1757188498402556,158,1.0
16645,5,67,4.698422448256003,66,1.5027175673666884,0.9923664122137404,1,64,0.0,1.0076923076923077,2,0.15267175572519084,67,1.0
41224,6,151,4.615160664316557,150,1.4655279116925166,1.0,0,150,0.0,1.0,1,0.17333333333333334,151,1.0
8457,5,58,4.63165680516792,57,1.640602455145308,0.9603960396039604,3,41,0.0,1.041237113402062,2,0.16831683168316833,58,1.0
24845,6,158,4.872371909082365,157,1.4980711406828777,0.9967948717948718,1,154,0.0,1.0032154340836013,2,0.1762820512820513,158,1.0
24847,2,96,5.400684744041014,95,1.6294625398809879,0.9649122807017544,4,72,0.0,1.0363636363636364,4,0.18128654970760233,96,1.0
24848,6,127,4.395308916078588,126,1.4630143377262081,1.0,0,126,0.0,1.0,1,0.17063492063492064,127,1.0
49425,6,115,5.171073790625493,114,1.5017220577935646,0.9911111111111112,1,110,0.0,1.0089686098654709,2,0.1688888888888889,115,1.0
