state,num_samples,mean_ht,std_ht,cv
"(0, 3)",20,17.8,6.438944012802099,0.3617384276855112
"(1, 0)",20,84.95,45.78697959027217,0.5389873995323387
"(2, 1)",20,92.0,52.04036894565602,0.5656561841919132
"(3, 0)",20,92.3,51.529700173783276,0.5582849422945101
"(4, 2)",20,64.4,44.2147034367528,0.6865637179619999
"(5, 0)",20,64.55,44.007357339426775,0.6817561167997952
"(6, 1)",20,64.7,43.80878907251375,0.6771064771640455
"(7, 0)",20,107.35,51.56478934311668,0.48034270464011813
"(8, 3)",20,74.4,45.70711104412529,0.614342890378028
"(9, 0)",20,104.0,44.710177812216315,0.4299055558866953
"(10, 1)",20,74.55,45.476889735337004,0.6100186416544199
"(11, 0)",20,78.3,44.18834688014477,0.5643467034501248
"(12, 2)",20,74.7,45.25494448123873,0.6058225499496483
"(13, 0)",20,74.7,45.25494448123873,0.6058225499496483
"(14, 1)",20,82.1,45.276815259026336,0.5514837424972757
"(15, 0)",20,82.1,45.276815259026336,0.5514837424972757
"(16, 3)",20,56.75,42.69060201027856,0.7522573041458778
"(17, 0)",20,74.85,45.04139762485175,0.6017554792899366
"(18, 1)",20,99.95,43.32144388175444,0.4334311543947418
"(19, 0)",20,99.95,43.32144388175444,0.4334311543947418
"(20, 2)",20,56.9,42.509881204256494,0.7470980879482688
"(21, 0)",20,56.9,42.509881204256494,0.7470980879482688
"(22, 1)",20,79.0,42.931340533461096,0.5434346902969759
"(23, 0)",20,79.0,42.931340533461096,0.5434346902969759
"(24, 3)",20,57.05,42.33848721907763,0.742129486749827
"(25, 0)",20,71.8,42.460098916512194,0.5913662801742646
"(26, 1)",20,57.05,42.33848721907763,0.742129486749827
"(27, 0)",20,119.0,44.0477014156244,0.3701487513918017
"(28, 2)",20,84.35,41.89782213910408,0.49671395541320784
"(29, 0)",20,84.35,41.89782213910408,0.49671395541320784
"(30, 1)",20,84.35,41.89782213910408,0.49671395541320784
"(31, 0)",20,101.45,41.35272058764695,0.4076167628156427
"(32, 3)",20,58.25,42.336597643173924,0.7268085432304536
"(33, 0)",20,76.35,51.636493877876724,0.6763129519040829
"(34, 1)",20,76.6,44.9081284401833,0.586267995302654
"(35, 0)",20,76.6,44.9081284401833,0.586267995302654
"(36, 2)",20,89.15,49.751658263820715,0.5580668341426889
"(37, 0)",20,89.15,49.751658263820715,0.5580668341426889
"(38, 1)",20,89.15,49.751658263820715,0.5580668341426889
"(39, 0)",20,95.0,41.2928565250698,0.4346616476323137
"(40, 3)",20,58.4,42.152579992214,0.7217907532913357
"(41, 0)",20,112.7,43.149855156187954,0.38287360387034564
"(42, 1)",20,58.4,42.152579992214,0.7217907532913357
"(43, 0)",20,84.65,40.23216996384858,0.47527666820848874
"(44, 2)",20,69.5,45.25428156539445,0.6511407419481215
"(45, 0)",20,69.5,45.25428156539445,0.6511407419481215
"(46, 1)",20,69.5,45.25428156539445,0.6511407419481215
"(47, 0)",20,97.6,38.9504813834181,0.3990828010596117
"(48, 3)",20,58.55,41.97794063552904,0.7169588494539546
"(49, 0)",20,63.45,40.42335339874712,0.6370898880811208
