q,n_start,steps_to_graph,on_graph
319,20946463,0,True
320,21011999,0,True
321,21077535,0,True
322,21143071,0,True
323,21208607,0,True
324,21274143,0,True
325,21339679,0,True
326,21405215,0,True
327,21470751,0,True
328,21536287,0,True
329,21601823,0,True
330,21667359,0,True
331,21732895,0,True
332,21798431,0,True
333,21863967,0,True
334,21929503,0,True
335,21995039,0,True
336,22060575,0,True
337,22126111,0,True
338,22191647,0,True
339,22257183,0,True
340,22322719,0,True
341,22388255,0,True
342,22453791,0,True
343,22519327,0,True
344,22584863,0,True
345,22650399,0,True
346,22715935,0,True
347,22781471,0,True
348,22847007,0,True
349,22912543,0,True
350,22978079,0,True
351,23043615,0,True
352,23109151,0,True
353,23174687,0,True
354,23240223,0,True
355,23305759,0,True
356,23371295,0,True
357,23436831,0,True
358,23502367,0,True
359,23567903,0,True
360,23633439,0,True
361,23698975,0,True
362,23764511,0,True
363,23830047,0,True
364,23895583,0,True
365,23961119,0,True
366,24026655,0,True
367,24092191,0,True
368,24157727,0,True
369,24223263,0,True
370,24288799,0,True
371,24354335,0,True
372,24419871,0,True
373,24485407,0,True
374,24550943,0,True
375,24616479,0,True
376,24682015,0,True
377,24747551,0,True
378,24813087,0,True
379,24878623,0,True
380,24944159,0,True
381,25009695,0,True
382,25075231,0,True
383,25140767,0,True
384,25206303,0,True
385,25271839,0,True
386,25337375,0,True
387,25402911,0,True
388,25468447,0,True
389,25533983,0,True
390,25599519,0,True
391,25665055,0,True
392,25730591,0,True
393,25796127,0,True
394,25861663,0,True
395,25927199,0,True
396,25992735,0,True
397,26058271,0,True
398,26123807,0,True
399,26189343,0,True
400,26254879,0,True
401,26320415,0,True
402,26385951,0,True
403,26451487,0,True
404,26517023,0,True
405,26582559,0,True
406,26648095,0,True
407,26713631,0,True
408,26779167,0,True
409,26844703,0,True
410,26910239,0,True
411,26975775,0,True
412,27041311,0,True
413,27106847,0,True
414,27172383,0,True
415,27237919,0,True
416,27303455,0,True
417,27368991,0,True
418,27434527,0,True
419,27500063,0,True
420,27565599,0,True
421,27631135,0,True
422,27696671,0,True
423,27762207,0,True
424,27827743,0,True
425,27893279,0,True
426,27958815,0,True
427,28024351,0,True
428,28089887,0,True
429,28155423,0,True
430,28220959,0,True
431,28286495,0,True
432,28352031,0,True
433,28417567,0,True
