r,v,rank,rank_next,tau,efficiency,next_r,next_v
0,3,14,13,1,1,32768,3
1,0,0,0,0,0,-1,-1
2,1,0,0,0,0,-1,-1
3,0,5,4,1,1,10,1
4,2,0,0,0,0,-1,-1
5,0,3,2,1,1,16,3
6,1,6,5,1,1,3,0
7,0,14,13,1,1,22,1
8,3,1,0,1,1,4,2
9,0,17,16,1,1,28,2
10,1,4,3,1,1,5,0
11,0,12,11,1,1,34,1
12,2,7,6,1,1,6,1
13,0,7,6,1,1,40,3
14,1,15,14,1,1,7,0
15,0,15,14,1,1,46,1
16,3,2,1,1,1,8,3
17,0,10,9,1,1,52,2
18,1,18,17,1,1,9,0
19,0,18,17,1,1,58,1
20,2,5,4,1,1,10,1
21,0,5,4,1,1,64,3
22,1,13,12,1,1,11,0
23,0,13,12,1,1,70,1
24,3,8,7,1,1,12,2
25,0,21,20,1,1,76,2
26,1,8,7,1,1,13,0
27,0,109,108,1,1,82,1
28,2,16,15,1,1,14,1
29,0,16,15,1,1,88,3
30,1,16,15,1,1,15,0
31,0,104,103,1,1,94,1
32,3,3,2,1,1,16,3
33,0,24,23,1,1,100,2
34,1,11,10,1,1,17,0
35,0,11,10,1,1,106,1
36,2,19,18,1,1,18,1
37,0,19,18,1,1,112,3
38,1,19,18,1,1,19,0
39,0,32,31,1,1,118,1
40,3,6,5,1,1,20,2
41,0,107,106,1,1,124,2
42,1,6,5,1,1,21,0
43,0,27,26,1,1,130,1
44,2,14,13,1,1,22,1
45,0,14,13,1,1,136,3
46,1,14,13,1,1,23,0
47,0,102,101,1,1,142,1
48,3,9,8,1,1,24,3
49,0,22,21,1,1,148,2
50,1,22,21,1,1,25,0
51,0,22,21,1,1,154,1
52,2,9,8,1,1,26,1
53,0,9,8,1,1,160,3
54,1,110,109,1,1,27,0
55,0,110,109,1,1,166,1
56,3,17,16,1,1,28,2
57,0,30,29,1,1,172,2
58,1,17,16,1,1,29,0
59,0,30,29,1,1,178,1
60,2,17,16,1,1,30,1
61,0,17,16,1,1,184,3
62,1,105,104,1,1,31,0
63,0,105,104,1,1,190,1
64,3,4,3,1,1,32,3
65,0,25,24,1,1,196,2
66,1,25,24,1,1,33,0
67,0,25,24,1,1,202,1
68,2,12,11,1,1,34,1
69,0,12,11,1,1,208,3
70,1,12,11,1,1,35,0
71,0,100,99,1,1,214,1
72,3,20,19,1,1,36,2
73,0,113,112,1,1,220,2
74,1,20,19,1,1,37,0
75,0,12,11,1,1,226,1
76,2,20,19,1,1,38,1
77,0,20,19,1,1,232,3
78,1,33,32,1,1,39,0
79,0,33,32,1,1,238,1
80,3,7,6,1,1,40,3
81,0,20,19,1,1,244,2
82,1,108,107,1,1,41,0
83,0,108,107,1,1,250,1
84,2,7,6,1,1,42,1
85,0,7,6,1,1,256,3
86,1,28,27,1,1,43,0
87,0,28,27,1,1,262,1
88,3,15,14,1,1,44,2
89,0,28,27,1,1,268,2
90,1,15,14,1,1,45,0
91,0,90,89,1,1,274,1
92,2,15,14,1,1,46,1
93,0,15,14,1,1,280,3
94,1,103,102,1,1,47,0
95,0,103,102,1,1,286,1
96,3,10,9,1,1,48,3
97,0,116,115,1,1,292,2
98,1,23,22,1,1,49,0
99,0,23,22,1,1,298,1
100,2,23,22,1,1,50,1
101,0,23,22,1,1,304,3
102,1,23,22,1,1,51,0
103,0,85,84,1,1,310,1
104,3,10,9,1,1,52,2
105,0,36,35,1,1,316,2
106,1,10,9,1,1,53,0
107,0,98,97,1,1,322,1
108,2,111,110,1,1,54,1
109,0,111,110,1,1,328,3
110,1,111,110,1,1,55,0
111,0,67,66,1,1,334,1
112,3,18,17,1,1,56,3
113,0,10,9,1,1,340,2
114,1,31,30,1,1,57,0
115,0,31,30,1,1,346,1
116,2,18,17,1,1,58,1
117,0,18,17,1,1,352,3
118,1,31,30,1,1,59,0
119,0,31,30,1,1,358,1
120,3,18,17,1,1,60,2
121,0,93,92,1,1,364,2
122,1,18,17,1,1,61,0
123,0,44,43,1,1,370,1
124,2,106,105,1,1,62,1
125,0,106,105,1,1,376,3
126,1,106,105,1,1,63,0
127,0,44,43,1,1,382,1
128,3,5,4,1,1,64,3
129,0,119,118,1,1,388,2
130,1,26,25,1,1,65,0
131,0,26,25,1,1,394,1
132,2,26,25,1,1,66,1
133,0,26,25,1,1,400,3
134,1,26,25,1,1,67,0
135,0,39,38,1,1,406,1
136,3,13,12,1,1,68,2
137,0,88,87,1,1,412,2
138,1,13,12,1,1,69,0
139,0,39,38,1,1,418,1
140,2,13,12,1,1,70,1
141,0,13,12,1,1,424,3
142,1,101,100,1,1,71,0
143,0,101,100,1,1,430,1
144,3,21,20,1,1,72,3
145,0,114,113,1,1,436,2
146,1,114,113,1,1,73,0
147,0,114,113,1,1,442,1
148,2,21,20,1,1,74,1
149,0,21,20,1,1,448,3
150,1,13,12,1,1,75,0
151,0,13,12,1,1,454,1
152,3,21,20,1,1,76,2
153,0,34,33,1,1,460,2
154,1,21,20,1,1,77,0
155,0,83,82,1,1,466,1
156,2,34,33,1,1,78,1
157,0,34,33,1,1,472,3
158,1,34,33,1,1,79,0
159,0,52,51,1,1,478,1
160,3,8,7,1,1,80,3
161,0,96,95,1,1,484,2
162,1,21,20,1,1,81,0
163,0,21,20,1,1,490,1
164,2,109,108,1,1,82,1
165,0,109,108,1,1,496,3
166,1,109,108,1,1,83,0
167,0,65,64,1,1,502,1
168,3,8,7,1,1,84,2
169,0,47,46,1,1,508,2
170,1,8,7,1,1,85,0
171,0,122,121,1,1,514,1
172,2,29,28,1,1,86,1
173,0,29,28,1,1,520,3
174,1,29,28,1,1,87,0
175,0,78,77,1,1,526,1
176,3,16,15,1,1,88,3
177,0,29,28,1,1,532,2
178,1,29,28,1,1,89,0
179,0,29,28,1,1,538,1
180,2,16,15,1,1,90,1
181,0,16,15,1,1,544,3
182,1,91,90,1,1,91,0
183,0,91,90,1,1,550,1
184,3,16,15,1,1,92,2
185,0,42,41,1,1,556,2
186,1,16,15,1,1,93,0
187,0,42,41,1,1,562,1
188,2,104,103,1,1,94,1
189,0,104,103,1,1,568,3
190,1,104,103,1,1,95,0
191,0,42,41,1,1,574,1
192,3,11,10,1,1,96,3
193,0,117,116,1,1,580,2
194,1,117,116,1,1,97,0
195,0,117,116,1,1,586,1
196,2,24,23,1,1,98,1
197,0,24,23,1,1,592,3
198,1,24,23,1,1,99,0
199,0,117,116,1,1,598,1
200,3,24,23,1,1,100,2
201,0,16,15,1,1,604,2
202,1,24,23,1,1,101,0
203,0,37,36,1,1,610,1
204,2,24,23,1,1,102,1
205,0,24,23,1,1,616,3
206,1,86,85,1,1,103,0
207,0,86,85,1,1,622,1
208,3,11,10,1,1,104,3
209,0,37,36,1,1,628,2
210,1,37,36,1,1,105,0
211,0,37,36,1,1,634,1
212,2,11,10,1,1,106,1
213,0,11,10,1,1,640,3
214,1,99,98,1,1,107,0
215,0,99,98,1,1,646,1
216,3,112,111,1,1,108,2
217,0,24,23,1,1,652,2
218,1,112,111,1,1,109,0
219,0,50,49,1,1,658,1
220,2,112,111,1,1,110,1
221,0,112,111,1,1,664,3
222,1,68,67,1,1,111,0
223,0,68,67,1,1,670,1
224,3,19,18,1,1,112,3
225,0,50,49,1,1,676,2
226,1,11,10,1,1,113,0
227,0,11,10,1,1,682,1
228,2,32,31,1,1,114,1
229,0,32,31,1,1,688,3
230,1,32,31,1,1,115,0
231,0,125,124,1,1,694,1
232,3,19,18,1,1,116,2
233,0,81,80,1,1,700,2
234,1,19,18,1,1,117,0
235,0,125,124,1,1,706,1
236,2,32,31,1,1,118,1
237,0,32,31,1,1,712,3
238,1,32,31,1,1,119,0
239,0,50,49,1,1,718,1
240,3,19,18,1,1,120,3
241,0,19,18,1,1,724,2
242,1,94,93,1,1,121,0
243,0,94,93,1,1,730,1
244,2,19,18,1,1,122,1
245,0,19,18,1,1,736,3
246,1,45,44,1,1,123,0
247,0,45,44,1,1,742,1
248,3,107,106,1,1,124,2
249,0,45,44,1,1,748,2
250,1,107,106,1,1,125,0
251,0,63,62,1,1,754,1
252,2,107,106,1,1,126,1
253,0,107,106,1,1,760,3
254,1,45,44,1,1,127,0
255,0,45,44,1,1,766,1
256,3,6,5,1,1,128,3
257,0,120,119,1,1,772,2
258,1,120,119,1,1,129,0
259,0,120,119,1,1,778,1
260,2,27,26,1,1,130,1
261,0,27,26,1,1,784,3
262,1,27,26,1,1,131,0
263,0,76,75,1,1,790,1
264,3,27,26,1,1,132,2
265,0,120,119,1,1,796,2
266,1,27,26,1,1,133,0
267,0,19,18,1,1,802,1
268,2,27,26,1,1,134,1
269,0,27,26,1,1,808,3
270,1,40,39,1,1,135,0
271,0,40,39,1,1,814,1
272,3,14,13,1,1,136,3
273,0,27,26,1,1,820,2
274,1,89,88,1,1,137,0
275,0,89,88,1,1,826,1
276,2,14,13,1,1,138,1
277,0,14,13,1,1,832,3
278,1,40,39,1,1,139,0
279,0,40,39,1,1,838,1
280,3,14,13,1,1,140,2
281,0,40,39,1,1,844,2
282,1,14,13,1,1,141,0
283,0,58,57,1,1,850,1
284,2,102,101,1,1,142,1
285,0,102,101,1,1,856,3
286,1,102,101,1,1,143,0
287,0,40,39,1,1,862,1
288,3,22,21,1,1,144,3
289,0,27,26,1,1,868,2
290,1,115,114,1,1,145,0
291,0,115,114,1,1,874,1
292,2,115,114,1,1,146,1
293,0,115,114,1,1,880,3
294,1,115,114,1,1,147,0
295,0,53,52,1,1,886,1
296,3,22,21,1,1,148,2
297,0,71,70,1,1,892,2
298,1,22,21,1,1,149,0
299,0,115,114,1,1,898,1
300,2,14,13,1,1,150,1
301,0,14,13,1,1,904,3
302,1,14,13,1,1,151,0
303,0,40,39,1,1,910,1
304,3,22,21,1,1,152,3
305,0,35,34,1,1,916,2
306,1,35,34,1,1,153,0
307,0,35,34,1,1,922,1
308,2,22,21,1,1,154,1
309,0,22,21,1,1,928,3
310,1,84,83,1,1,155,0
311,0,84,83,1,1,934,1
312,3,35,34,1,1,156,2
313,0,128,127,1,1,940,2
314,1,35,34,1,1,157,0
315,0,35,34,1,1,946,1
316,2,35,34,1,1,158,1
317,0,35,34,1,1,952,3
318,1,53,52,1,1,159,0
319,0,53,52,1,1,958,1
320,3,9,8,1,1,160,3
321,0,22,21,1,1,964,2
322,1,97,96,1,1,161,0
323,0,97,96,1,1,970,1
324,2,22,21,1,1,162,1
325,0,22,21,1,1,976,3
326,1,22,21,1,1,163,0
327,0,141,140,1,1,982,1
328,3,110,109,1,1,164,2
329,0,48,47,1,1,988,2
330,1,110,109,1,1,165,0
331,0,22,21,1,1,994,1
332,2,110,109,1,1,166,1
333,0,110,109,1,1,1000,3
334,1,66,65,1,1,167,0
335,0,66,65,1,1,1006,1
336,3,9,8,1,1,168,3
337,0,110,109,1,1,1012,2
338,1,48,47,1,1,169,0
339,0,48,47,1,1,1018,1
340,2,9,8,1,1,170,1
341,0,9,8,1,1,1024,3
342,1,123,122,1,1,171,0
343,0,123,122,1,1,1030,1
344,3,30,29,1,1,172,2
345,0,123,122,1,1,1036,2
346,1,30,29,1,1,173,0
347,0,123,122,1,1,1042,1
348,2,30,29,1,1,174,1
349,0,30,29,1,1,1048,3
350,1,79,78,1,1,175,0
351,0,79,78,1,1,1054,1
352,3,17,16,1,1,176,3
353,0,123,122,1,1,1060,2
354,1,30,29,1,1,177,0
355,0,30,29,1,1,1066,1
356,2,30,29,1,1,178,1
357,0,30,29,1,1,1072,3
358,1,30,29,1,1,179,0
359,0,48,47,1,1,1078,1
360,3,17,16,1,1,180,2
361,0,43,42,1,1,1084,2
362,1,17,16,1,1,181,0
363,0,43,42,1,1,1090,1
364,2,92,91,1,1,182,1
365,0,92,91,1,1,1096,3
366,1,92,91,1,1,183,0
367,0,43,42,1,1,1102,1
368,3,17,16,1,1,184,3
369,0,17,16,1,1,1108,2
370,1,43,42,1,1,185,0
371,0,43,42,1,1,1114,1
372,2,17,16,1,1,186,1
373,0,17,16,1,1,1120,3
374,1,43,42,1,1,187,0
375,0,43,42,1,1,1126,1
376,3,105,104,1,1,188,2
377,0,61,60,1,1,1132,2
378,1,105,104,1,1,189,0
379,0,56,55,1,1,1138,1
380,2,105,104,1,1,190,1
381,0,105,104,1,1,1144,3
382,1,43,42,1,1,191,0
383,0,43,42,1,1,1150,1
384,3,12,11,1,1,192,3
385,0,30,29,1,1,1156,2
386,1,118,117,1,1,193,0
387,0,118,117,1,1,1162,1
388,2,118,117,1,1,194,1
389,0,118,117,1,1,1168,3
390,1,118,117,1,1,195,0
391,0,118,117,1,1,1174,1
392,3,25,24,1,1,196,2
393,0,56,55,1,1,1180,2
394,1,25,24,1,1,197,0
395,0,74,73,1,1,1186,1
396,2,25,24,1,1,198,1
397,0,25,24,1,1,1192,3
398,1,118,117,1,1,199,0
399,0,118,117,1,1,1198,1
400,3,25,24,1,1,200,3
401,0,17,16,1,1,1204,2
402,1,17,16,1,1,201,0
403,0,17,16,1,1,1210,1
404,2,25,24,1,1,202,1
405,0,25,24,1,1,1216,3
406,1,38,37,1,1,203,0
407,0,38,37,1,1,1222,1
408,3,25,24,1,1,204,2
409,0,38,37,1,1,1228,2
410,1,25,24,1,1,205,0
411,0,131,130,1,1,1234,1
412,2,87,86,1,1,206,1
413,0,87,86,1,1,1240,3
414,1,87,86,1,1,207,0
415,0,131,130,1,1,1246,1
416,3,12,11,1,1,208,3
417,0,131,130,1,1,1252,2
418,1,38,37,1,1,209,0
419,0,38,37,1,1,1258,1
420,2,38,37,1,1,210,1
421,0,38,37,1,1,1264,3
422,1,38,37,1,1,211,0
423,0,30,29,1,1,1270,1
424,3,12,11,1,1,212,2
425,0,56,55,1,1,1276,2
426,1,12,11,1,1,213,0
427,0,51,50,1,1,1282,1
428,2,100,99,1,1,214,1
429,0,100,99,1,1,1288,3
430,1,100,99,1,1,215,0
431,0,38,37,1,1,1294,1
432,3,113,112,1,1,216,3
433,0,25,24,1,1,1300,2
434,1,25,24,1,1,217,0
435,0,25,24,1,1,1306,1
436,2,113,112,1,1,218,1
437,0,113,112,1,1,1312,3
438,1,51,50,1,1,219,0
439,0,51,50,1,1,1318,1
440,3,113,112,1,1,220,2
441,0,25,24,1,1,1324,2
442,1,113,112,1,1,221,0
443,0,51,50,1,1,1330,1
444,2,69,68,1,1,222,1
445,0,69,68,1,1,1336,3
446,1,69,68,1,1,223,0
447,0,95,94,1,1,1342,1
448,3,20,19,1,1,224,3
449,0,113,112,1,1,1348,2
450,1,51,50,1,1,225,0
451,0,51,50,1,1,1354,1
452,2,12,11,1,1,226,1
453,0,12,11,1,1,1360,3
454,1,12,11,1,1,227,0
455,0,38,37,1,1,1366,1
456,3,33,32,1,1,228,2
457,0,126,125,1,1,1372,2
458,1,33,32,1,1,229,0
459,0,126,125,1,1,1378,1
460,2,33,32,1,1,230,1
461,0,33,32,1,1,1384,3
462,1,126,125,1,1,231,0
463,0,126,125,1,1,1390,1
464,3,20,19,1,1,232,3
465,0,33,32,1,1,1396,2
466,1,82,81,1,1,233,0
467,0,82,81,1,1,1402,1
468,2,20,19,1,1,234,1
469,0,20,19,1,1,1408,3
470,1,126,125,1,1,235,0
471,0,126,125,1,1,1414,1
472,3,33,32,1,1,236,2
473,0,33,32,1,1,1420,2
474,1,33,32,1,1,237,0
475,0,25,24,1,1,1426,1
476,2,33,32,1,1,238,1
477,0,33,32,1,1,1432,3
478,1,51,50,1,1,239,0
479,0,51,50,1,1,1438,1
480,3,20,19,1,1,240,3
481,0,46,45,1,1,1444,2
482,1,20,19,1,1,241,0
483,0,20,19,1,1,1450,1
484,2,95,94,1,1,242,1
485,0,95,94,1,1,1456,3
486,1,95,94,1,1,243,0
487,0,139,138,1,1,1462,1
488,3,20,19,1,1,244,2
489,0,46,45,1,1,1468,2
490,1,20,19,1,1,245,0
491,0,139,138,1,1,1474,1
492,2,46,45,1,1,246,1
493,0,46,45,1,1,1480,3
494,1,46,45,1,1,247,0
495,0,95,94,1,1,1486,1
496,3,108,107,1,1,248,3
497,0,20,19,1,1,1492,2
498,1,46,45,1,1,249,0
499,0,46,45,1,1,1498,1
500,2,108,107,1,1,250,1
501,0,108,107,1,1,1504,3
502,1,64,63,1,1,251,0
503,0,64,63,1,1,1510,1
504,3,108,107,1,1,252,2
505,0,59,58,1,1,1516,2
506,1,108,107,1,1,253,0
507,0,33,32,1,1,1522,1
508,2,46,45,1,1,254,1
509,0,46,45,1,1,1528,3
510,1,46,45,1,1,255,0
511,0,59,58,1,1,1534,1
512,3,7,6,1,1,256,3
513,0,33,32,1,1,1540,2
514,1,121,120,1,1,257,0
515,0,121,120,1,1,1546,1
516,2,121,120,1,1,258,1
517,0,121,120,1,1,1552,3
518,1,121,120,1,1,259,0
519,0,59,58,1,1,1558,1
520,3,28,27,1,1,260,2
521,0,121,120,1,1,1564,2
522,1,28,27,1,1,261,0
523,0,121,120,1,1,1570,1
524,2,28,27,1,1,262,1
525,0,28,27,1,1,1576,3
526,1,77,76,1,1,263,0
527,0,77,76,1,1,1582,1
528,3,28,27,1,1,264,3
529,0,28,27,1,1,1588,2
530,1,121,120,1,1,265,0
531,0,121,120,1,1,1594,1
532,2,28,27,1,1,266,1
533,0,28,27,1,1,1600,3
534,1,20,19,1,1,267,0
535,0,20,19,1,1,1606,1
536,3,28,27,1,1,268,2
537,0,20,19,1,1,1612,2
538,1,28,27,1,1,269,0
539,0,46,45,1,1,1618,1
540,2,41,40,1,1,270,1
541,0,41,40,1,1,1624,3
542,1,41,40,1,1,271,0
543,0,134,133,1,1,1630,1
544,3,15,14,1,1,272,3
545,0,41,40,1,1,1636,2
546,1,28,27,1,1,273,0
547,0,28,27,1,1,1642,1
548,2,90,89,1,1,274,1
549,0,90,89,1,1,1648,3
550,1,90,89,1,1,275,0
551,0,41,40,1,1,1654,1
552,3,15,14,1,1,276,2
553,0,134,133,1,1,1660,2
554,1,15,14,1,1,277,0
555,0,28,27,1,1,1666,1
556,2,41,40,1,1,278,1
557,0,41,40,1,1,1672,3
558,1,41,40,1,1,279,0
559,0,85,84,1,1,1678,1
560,3,15,14,1,1,280,3
561,0,41,40,1,1,1684,2
562,1,41,40,1,1,281,0
563,0,41,40,1,1,1690,1
564,2,15,14,1,1,282,1
565,0,15,14,1,1,1696,3
566,1,59,58,1,1,283,0
567,0,59,58,1,1,1702,1
568,3,103,102,1,1,284,2
569,0,54,53,1,1,1708,2
570,1,103,102,1,1,285,0
571,0,28,27,1,1,1714,1
572,2,103,102,1,1,286,1
573,0,103,102,1,1,1720,3
574,1,41,40,1,1,287,0
575,0,41,40,1,1,1726,1
576,3,23,22,1,1,288,3
577,0,28,27,1,1,1732,2
578,1,28,27,1,1,289,0
579,0,28,27,1,1,1738,1
580,2,116,115,1,1,290,1
581,0,116,115,1,1,1744,3
582,1,116,115,1,1,291,0
583,0,28,27,1,1,1750,1
584,3,116,115,1,1,292,2
585,0,54,53,1,1,1756,2
586,1,116,115,1,1,293,0
587,0,116,115,1,1,1762,1
588,2,116,115,1,1,294,1
589,0,116,115,1,1,1768,3
590,1,54,53,1,1,295,0
591,0,54,53,1,1,1774,1
592,3,23,22,1,1,296,3
593,0,72,71,1,1,1780,2
594,1,72,71,1,1,297,0
595,0,72,71,1,1,1786,1
596,2,23,22,1,1,298,1
597,0,23,22,1,1,1792,3
598,1,116,115,1,1,299,0
599,0,116,115,1,1,1798,1
600,3,15,14,1,1,300,2
601,0,54,53,1,1,1804,2
602,1,15,14,1,1,301,0
603,0,67,66,1,1,1810,1
604,2,15,14,1,1,302,1
605,0,15,14,1,1,1816,3
606,1,41,40,1,1,303,0
607,0,41,40,1,1,1822,1
608,3,23,22,1,1,304,3
609,0,129,128,1,1,1828,2
610,1,36,35,1,1,305,0
611,0,36,35,1,1,1834,1
612,2,36,35,1,1,306,1
613,0,36,35,1,1,1840,3
614,1,36,35,1,1,307,0
615,0,67,66,1,1,1846,1
616,3,23,22,1,1,308,2
617,0,129,128,1,1,1852,2
618,1,23,22,1,1,309,0
619,0,129,128,1,1,1858,1
620,2,85,84,1,1,310,1
621,0,85,84,1,1,1864,3
622,1,85,84,1,1,311,0
623,0,129,128,1,1,1870,1
624,3,36,35,1,1,312,3
625,0,23,22,1,1,1876,2
626,1,129,128,1,1,313,0
627,0,129,128,1,1,1882,1
628,2,36,35,1,1,314,1
629,0,36,35,1,1,1888,3
630,1,36,35,1,1,315,0
631,0,36,35,1,1,1894,1
632,3,36,35,1,1,316,2
633,0,28,27,1,1,1900,2
634,1,36,35,1,1,317,0
635,0,28,27,1,1,1906,1
636,2,54,53,1,1,318,1
637,0,54,53,1,1,1912,3
638,1,54,53,1,1,319,0
639,0,129,128,1,1,1918,1
640,3,10,9,1,1,320,3
641,0,49,48,1,1,1924,2
642,1,23,22,1,1,321,0
643,0,23,22,1,1,1930,1
644,2,98,97,1,1,322,1
645,0,98,97,1,1,1936,3
646,1,98,97,1,1,323,0
647,0,36,35,1,1,1942,1
648,3,23,22,1,1,324,2
649,0,142,141,1,1,1948,2
650,1,23,22,1,1,325,0
651,0,98,97,1,1,1954,1
652,2,23,22,1,1,326,1
653,0,23,22,1,1,1960,3
654,1,142,141,1,1,327,0
655,0,142,141,1,1,1966,1
656,3,111,110,1,1,328,3
657,0,49,48,1,1,1972,2
658,1,49,48,1,1,329,0
659,0,49,48,1,1,1978,1
660,2,111,110,1,1,330,1
661,0,111,110,1,1,1984,3
662,1,23,22,1,1,331,0
663,0,23,22,1,1,1990,1
664,3,111,110,1,1,332,2
665,0,49,48,1,1,1996,2
666,1,111,110,1,1,333,0
667,0,142,141,1,1,2002,1
668,2,67,66,1,1,334,1
669,0,67,66,1,1,2008,3
670,1,67,66,1,1,335,0
671,0,93,92,1,1,2014,1
672,3,10,9,1,1,336,3
673,0,62,61,1,1,2020,2
674,1,111,110,1,1,337,0
675,0,111,110,1,1,2026,1
676,2,49,48,1,1,338,1
677,0,49,48,1,1,2032,3
678,1,49,48,1,1,339,0
679,0,62,61,1,1,2038,1
680,3,10,9,1,1,340,2
681,0,62,61,1,1,2044,2
682,1,10,9,1,1,341,0
683,0,36,35,1,1,2050,1
684,2,124,123,1,1,342,1
685,0,124,123,1,1,2056,3
686,1,124,123,1,1,343,0
687,0,36,35,1,1,2062,1
688,3,31,30,1,1,344,3
689,0,124,123,1,1,2068,2
690,1,124,123,1,1,345,0
691,0,124,123,1,1,2074,1
692,2,31,30,1,1,346,1
693,0,31,30,1,1,2080,3
694,1,124,123,1,1,347,0
695,0,124,123,1,1,2086,1
696,3,31,30,1,1,348,2
697,0,124,123,1,1,2092,2
698,1,31,30,1,1,349,0
699,0,62,61,1,1,2098,1
700,2,80,79,1,1,350,1
701,0,80,79,1,1,2104,3
702,1,80,79,1,1,351,0
703,0,73,72,1,1,2110,1
704,3,18,17,1,1,352,3
705,0,31,30,1,1,2116,2
706,1,124,123,1,1,353,0
707,0,124,123,1,1,2122,1
708,2,31,30,1,1,354,1
709,0,31,30,1,1,2128,3
710,1,31,30,1,1,355,0
711,0,62,61,1,1,2134,1
712,3,31,30,1,1,356,2
713,0,23,22,1,1,2140,2
714,1,31,30,1,1,357,0
715,0,23,22,1,1,2146,1
716,2,31,30,1,1,358,1
717,0,31,30,1,1,2152,3
718,1,49,48,1,1,359,0
719,0,49,48,1,1,2158,1
720,3,18,17,1,1,360,3
721,0,44,43,1,1,2164,2
722,1,44,43,1,1,361,0
723,0,44,43,1,1,2170,1
724,2,18,17,1,1,362,1
725,0,18,17,1,1,2176,3
726,1,44,43,1,1,363,0
727,0,44,43,1,1,2182,1
728,3,93,92,1,1,364,2
729,0,31,30,1,1,2188,2
730,1,93,92,1,1,365,0
731,0,137,136,1,1,2194,1
732,2,93,92,1,1,366,1
733,0,93,92,1,1,2200,3
734,1,44,43,1,1,367,0
735,0,44,43,1,1,2206,1
736,3,18,17,1,1,368,3
737,0,137,136,1,1,2212,2
738,1,18,17,1,1,369,0
739,0,18,17,1,1,2218,1
740,2,44,43,1,1,370,1
741,0,44,43,1,1,2224,3
742,1,44,43,1,1,371,0
743,0,93,92,1,1,2230,1
744,3,18,17,1,1,372,2
745,0,88,87,1,1,2236,2
746,1,18,17,1,1,373,0
747,0,44,43,1,1,2242,1
748,2,44,43,1,1,374,1
749,0,44,43,1,1,2248,3
750,1,44,43,1,1,375,0
751,0,137,136,1,1,2254,1
752,3,106,105,1,1,376,3
753,0,18,17,1,1,2260,2
754,1,62,61,1,1,377,0
755,0,62,61,1,1,2266,1
756,2,106,105,1,1,378,1
757,0,106,105,1,1,2272,3
758,1,57,56,1,1,379,0
759,0,57,56,1,1,2278,1
760,3,106,105,1,1,380,2
761,0,31,30,1,1,2284,2
762,1,106,105,1,1,381,0
763,0,150,149,1,1,2290,1
764,2,44,43,1,1,382,1
765,0,44,43,1,1,2296,3
766,1,44,43,1,1,383,0
767,0,57,56,1,1,2302,1
768,3,13,12,1,1,384,3
769,0,31,30,1,1,2308,2
770,1,31,30,1,1,385,0
771,0,31,30,1,1,2314,1
772,2,119,118,1,1,386,1
773,0,119,118,1,1,2320,3
774,1,119,118,1,1,387,0
775,0,150,149,1,1,2326,1
776,3,119,118,1,1,388,2
777,0,31,30,1,1,2332,2
778,1,119,118,1,1,389,0
779,0,57,56,1,1,2338,1
780,2,119,118,1,1,390,1
781,0,119,118,1,1,2344,3
782,1,119,118,1,1,391,0
783,0,119,118,1,1,2350,1
784,3,26,25,1,1,392,3
785,0,119,118,1,1,2356,2
786,1,57,56,1,1,393,0
787,0,57,56,1,1,2362,1
788,2,26,25,1,1,394,1
789,0,26,25,1,1,2368,3
790,1,75,74,1,1,395,0
791,0,75,74,1,1,2374,1
792,3,26,25,1,1,396,2
793,0,75,74,1,1,2380,2
794,1,26,25,1,1,397,0
795,0,101,100,1,1,2386,1
796,2,119,118,1,1,398,1
797,0,119,118,1,1,2392,3
798,1,119,118,1,1,399,0
799,0,70,69,1,1,2398,1
800,3,26,25,1,1,400,3
801,0,57,56,1,1,2404,2
802,1,18,17,1,1,401,0
803,0,18,17,1,1,2410,1
804,2,18,17,1,1,402,1
805,0,18,17,1,1,2416,3
806,1,18,17,1,1,403,0
807,0,70,69,1,1,2422,1
808,3,26,25,1,1,404,2
809,0,44,43,1,1,2428,2
810,1,26,25,1,1,405,0
811,0,132,131,1,1,2434,1
812,2,39,38,1,1,406,1
813,0,39,38,1,1,2440,3
814,1,39,38,1,1,407,0
815,0,132,131,1,1,2446,1
816,3,26,25,1,1,408,3
817,0,39,38,1,1,2452,2
818,1,39,38,1,1,409,0
819,0,39,38,1,1,2458,1
820,2,26,25,1,1,410,1
821,0,26,25,1,1,2464,3
822,1,132,131,1,1,411,0
823,0,132,131,1,1,2470,1
824,3,88,87,1,1,412,2
825,0,132,131,1,1,2476,2
826,1,88,87,1,1,413,0
827,0,39,38,1,1,2482,1
828,2,88,87,1,1,414,1
829,0,88,87,1,1,2488,3
830,1,132,131,1,1,415,0
831,0,132,131,1,1,2494,1
832,3,13,12,1,1,416,3
833,0,26,25,1,1,2500,2
834,1,132,131,1,1,417,0
835,0,132,131,1,1,2506,1
836,2,39,38,1,1,418,1
837,0,39,38,1,1,2512,3
838,1,39,38,1,1,419,0
839,0,83,82,1,1,2518,1
840,3,39,38,1,1,420,2
841,0,39,38,1,1,2524,2
842,1,39,38,1,1,421,0
843,0,39,38,1,1,2530,1
844,2,39,38,1,1,422,1
845,0,39,38,1,1,2536,3
846,1,31,30,1,1,423,0
847,0,31,30,1,1,2542,1
848,3,13,12,1,1,424,3
849,0,57,56,1,1,2548,2
850,1,57,56,1,1,425,0
851,0,57,56,1,1,2554,1
852,2,13,12,1,1,426,1
853,0,13,12,1,1,2560,3
854,1,52,51,1,1,427,0
855,0,52,51,1,1,2566,1
