r,v,rank,rank_next,tau,efficiency,next_r,next_v
8414,1,56,55,1,1,4207,0
8415,0,90,89,1,1,25246,1
8416,3,81,80,1,1,4208,3
8417,0,88,87,1,1,25252,2
8418,1,32,31,1,1,4209,0
8419,0,32,31,1,1,25258,1
8420,2,125,124,1,1,4210,1
8421,0,125,124,1,1,25264,3
8422,1,125,124,1,1,4211,0
8423,0,43,42,1,1,25270,1
8424,3,81,80,1,1,4212,2
8425,0,110,109,1,1,25276,2
8426,1,81,80,1,1,4213,0
8427,0,154,153,1,1,25282,1
8428,2,156,155,1,1,4214,1
8429,0,156,155,1,1,25288,3
8430,1,156,155,1,1,4215,0
8431,0,58,57,1,1,25294,1
8432,3,81,80,1,1,4216,3
8433,0,81,80,1,1,25300,2
8434,1,55,54,1,1,4217,0
8435,0,55,54,1,1,25306,1
8436,2,81,80,1,1,4218,1
8437,0,81,80,1,1,25312,3
8438,1,156,155,1,1,4219,0
8439,0,156,155,1,1,25318,1
8440,3,74,73,1,1,4220,2
8441,0,55,54,1,1,25324,2
8442,1,74,73,1,1,4221,0
8443,0,88,87,1,1,25330,1
8444,2,74,73,1,1,4222,1
8445,0,74,73,1,1,25336,3
8446,1,69,68,1,1,4223,0
8447,0,35,34,1,1,25342,1
8448,3,32,31,1,1,4224,3
8449,0,55,54,1,1,25348,2
8450,1,55,54,1,1,4225,0
8451,0,55,54,1,1,25354,1
8452,2,81,80,1,1,4226,1
8453,0,81,80,1,1,25360,3
8454,1,81,80,1,1,4227,0
8455,0,174,173,1,1,25366,1
8456,3,81,80,1,1,4228,2
8457,0,55,54,1,1,25372,2
8458,1,81,80,1,1,4229,0
8459,0,81,80,1,1,25378,1
8460,2,81,80,1,1,4230,1
8461,0,81,80,1,1,25384,3
8462,1,37,36,1,1,4231,0
8463,0,48,47,1,1,25390,1
8464,3,32,31,1,1,4232,3
8465,0,81,80,1,1,25396,2
8466,1,98,97,1,1,4233,0
8467,0,98,97,1,1,25402,1
8468,2,32,31,1,1,4234,1
8469,0,32,31,1,1,25408,3
8470,1,55,54,1,1,4235,0
8471,0,55,54,1,1,25414,1
8472,3,32,31,1,1,4236,2
8473,0,55,54,1,1,25420,2
8474,1,32,31,1,1,4237,0
8475,0,140,139,1,1,25426,1
8476,2,81,80,1,1,4238,1
8477,0,81,80,1,1,25432,3
8478,1,81,80,1,1,4239,0
8479,0,48,47,1,1,25438,1
8480,3,125,124,1,1,4240,3
8481,0,107,106,1,1,25444,2
8482,1,107,106,1,1,4241,0
8483,0,107,106,1,1,25450,1
8484,2,107,106,1,1,4242,1
8485,0,107,106,1,1,25456,3
8486,1,107,106,1,1,4243,0
8487,0,118,117,1,1,25462,1
8488,3,125,124,1,1,4244,2
8489,0,157,156,1,1,25468,2
8490,1,125,124,1,1,4245,0
8491,0,162,161,1,1,25474,1
8492,2,32,31,1,1,4246,1
8493,0,32,31,1,1,25480,3
8494,1,32,31,1,1,4247,0
8495,0,48,47,1,1,25486,1
8496,3,125,124,1,1,4248,3
8497,0,125,124,1,1,25492,2
8498,1,125,124,1,1,4249,0
8499,0,125,124,1,1,25498,1
8500,2,125,124,1,1,4250,1
8501,0,125,124,1,1,25504,3
8502,1,81,80,1,1,4251,0
8503,0,81,80,1,1,25510,1
8504,3,76,75,1,1,4252,2
8505,0,81,80,1,1,25516,2
8506,1,76,75,1,1,4253,0
8507,0,76,75,1,1,25522,1
8508,2,76,75,1,1,4254,1
8509,0,76,75,1,1,25528,3
8510,1,68,67,1,1,4255,0
8511,0,123,122,1,1,25534,1
8512,3,32,31,1,1,4256,3
8513,0,125,124,1,1,25540,2
8514,1,37,36,1,1,4257,0
8515,0,37,36,1,1,25546,1
8516,2,125,124,1,1,4258,1
8517,0,125,124,1,1,25552,3
8518,1,125,124,1,1,4259,0
8519,0,70,69,1,1,25558,1
8520,3,76,75,1,1,4260,2
8521,0,76,75,1,1,25564,2
8522,1,76,75,1,1,4261,0
8523,0,125,124,1,1,25570,1
8524,2,76,75,1,1,4262,1
8525,0,76,75,1,1,25576,3
8526,1,177,176,1,1,4263,0
8527,0,185,184,1,1,25582,1
8528,3,32,31,1,1,4264,3
8529,0,76,75,1,1,25588,2
8530,1,145,144,1,1,4265,0
8531,0,145,144,1,1,25594,1
8532,2,32,31,1,1,4266,1
8533,0,32,31,1,1,25600,3
8534,1,125,124,1,1,4267,0
8535,0,125,124,1,1,25606,1
8536,3,63,62,1,1,4268,2
8537,0,169,168,1,1,25612,2
8538,1,63,62,1,1,4269,0
8539,0,125,124,1,1,25618,1
8540,2,63,62,1,1,4270,1
8541,0,63,62,1,1,25624,3
8542,1,169,168,1,1,4271,0
8543,0,154,153,1,1,25630,1
8544,3,24,23,1,1,4272,3
8545,0,125,124,1,1,25636,2
8546,1,63,62,1,1,4273,0
8547,0,63,62,1,1,25642,1
8548,2,63,62,1,1,4274,1
8549,0,63,62,1,1,25648,3
8550,1,63,62,1,1,4275,0
8551,0,138,137,1,1,25654,1
8552,3,24,23,1,1,4276,2
8553,0,50,49,1,1,25660,2
8554,1,24,23,1,1,4277,0
8555,0,50,49,1,1,25666,1
8556,2,76,75,1,1,4278,1
8557,0,76,75,1,1,25672,3
8558,1,76,75,1,1,4279,0
8559,0,110,109,1,1,25678,1
8560,3,24,23,1,1,4280,3
8561,0,24,23,1,1,25684,2
8562,1,125,124,1,1,4281,0
8563,0,125,124,1,1,25690,1
8564,2,24,23,1,1,4282,1
8565,0,24,23,1,1,25696,3
8566,1,125,124,1,1,4283,0
8567,0,125,124,1,1,25702,1
8568,3,169,168,1,1,4284,2
8569,0,158,157,1,1,25708,2
8570,1,169,168,1,1,4285,0
8571,0,169,168,1,1,25714,1
8572,2,169,168,1,1,4286,1
8573,0,169,168,1,1,25720,3
8574,1,38,37,1,1,4287,0
8575,0,42,41,1,1,25726,1
8576,3,32,31,1,1,4288,3
8577,0,63,62,1,1,25732,2
8578,1,76,75,1,1,4289,0
8579,0,76,75,1,1,25738,1
8580,2,76,75,1,1,4290,1
8581,0,76,75,1,1,25744,3
8582,1,76,75,1,1,4291,0
8583,0,76,75,1,1,25750,1
8584,3,24,23,1,1,4292,2
8585,0,169,168,1,1,25756,2
8586,1,24,23,1,1,4293,0
8587,0,125,124,1,1,25762,1
8588,2,24,23,1,1,4294,1
8589,0,24,23,1,1,25768,3
8590,1,76,75,1,1,4295,0
8591,0,79,78,1,1,25774,1
8592,3,24,23,1,1,4296,3
8593,0,24,23,1,1,25780,2
8594,1,24,23,1,1,4297,0
8595,0,24,23,1,1,25786,1
8596,2,24,23,1,1,4298,1
8597,0,24,23,1,1,25792,3
8598,1,63,62,1,1,4299,0
8599,0,63,62,1,1,25798,1
8600,3,24,23,1,1,4300,2
8601,0,63,62,1,1,25804,2
8602,1,24,23,1,1,4301,0
8603,0,77,76,1,1,25810,1
8604,2,196,195,1,1,4302,1
8605,0,196,195,1,1,25816,3
8606,1,196,195,1,1,4303,0
8607,0,74,73,1,1,25822,1
8608,3,32,31,1,1,4304,3
8609,0,169,168,1,1,25828,2
8610,1,76,75,1,1,4305,0
8611,0,76,75,1,1,25834,1
8612,2,76,75,1,1,4306,1
8613,0,76,75,1,1,25840,3
8614,1,76,75,1,1,4307,0
8615,0,76,75,1,1,25846,1
8616,3,32,31,1,1,4308,2
8617,0,60,59,1,1,25852,2
8618,1,32,31,1,1,4309,0
8619,0,118,117,1,1,25858,1
8620,2,114,113,1,1,4310,1
8621,0,114,113,1,1,25864,3
8622,1,114,113,1,1,4311,0
8623,0,61,60,1,1,25870,1
8624,3,50,49,1,1,4312,3
8625,0,50,49,1,1,25876,2
8626,1,50,49,1,1,4313,0
8627,0,50,49,1,1,25882,1
8628,2,50,49,1,1,4314,1
8629,0,50,49,1,1,25888,3
8630,1,125,124,1,1,4315,0
8631,0,125,124,1,1,25894,1
8632,3,50,49,1,1,4316,2
8633,0,50,49,1,1,25900,2
8634,1,50,49,1,1,4317,0
8635,0,169,168,1,1,25906,1
8636,2,125,124,1,1,4318,1
8637,0,125,124,1,1,25912,3
8638,1,30,29,1,1,4319,0
8639,0,106,105,1,1,25918,1
8640,3,45,44,1,1,4320,3
8641,0,169,168,1,1,25924,2
8642,1,115,114,1,1,4321,0
8643,0,115,114,1,1,25930,1
8644,2,32,31,1,1,4322,1
8645,0,32,31,1,1,25936,3
8646,1,32,31,1,1,4323,0
8647,0,50,49,1,1,25942,1
8648,3,138,137,1,1,4324,2
8649,0,50,49,1,1,25948,2
8650,1,138,137,1,1,4325,0
8651,0,50,49,1,1,25954,1
8652,2,138,137,1,1,4326,1
8653,0,138,137,1,1,25960,3
8654,1,169,168,1,1,4327,0
8655,0,48,47,1,1,25966,1
8656,3,45,44,1,1,4328,3
8657,0,138,137,1,1,25972,2
8658,1,50,49,1,1,4329,0
8659,0,50,49,1,1,25978,1
8660,2,45,44,1,1,4330,1
8661,0,45,44,1,1,25984,3
8662,1,125,124,1,1,4331,0
8663,0,125,124,1,1,25990,1
8664,3,138,137,1,1,4332,2
8665,0,138,137,1,1,25996,2
8666,1,138,137,1,1,4333,0
8667,0,32,31,1,1,26002,1
8668,2,138,137,1,1,4334,1
