r,v,initial_rank,n_start,escaped,escape_steps,final_rank
128,3,5,131200,True,1,4
130,1,26,130,True,1,25
130,1,26,65666,True,90,25
130,1,26,131202,True,1,25
132,2,26,132,True,1,25
132,2,26,65668,True,90,25
132,2,26,131204,True,1,25
134,1,26,134,True,1,25
134,1,26,65670,True,90,25
134,1,26,131206,True,1,25
136,3,13,136,True,1,12
136,3,13,65672,True,28,12
136,3,13,131208,True,1,12
138,1,13,138,True,1,12
138,1,13,65674,True,28,12
138,1,13,131210,True,1,12
140,2,13,140,True,1,12
140,2,13,65676,True,28,12
140,2,13,131212,True,1,12
142,1,101,142,True,1,100
142,1,101,65678,True,1,81
142,1,101,131214,True,1,100
144,3,21,144,True,1,20
144,3,21,65680,True,139,20
144,3,21,131216,True,1,20
146,1,114,146,True,1,113
146,1,114,65682,True,3,65
146,1,114,131218,True,1,113
148,2,21,148,True,1,20
148,2,21,65684,True,139,20
148,2,21,131220,True,1,20
150,1,13,150,True,1,12
150,1,13,65686,True,28,12
150,1,13,131222,True,1,12
152,3,21,152,True,1,20
152,3,21,65688,True,139,20
152,3,21,131224,True,1,20
154,1,21,154,True,1,20
154,1,21,65690,True,139,20
154,1,21,131226,True,1,20
156,2,34,156,True,1,33
156,2,34,65692,True,126,33
156,2,34,131228,True,1,33
158,1,34,158,True,1,33
158,1,34,65694,True,126,33
158,1,34,131230,True,1,33
160,3,8,160,True,1,7
160,3,8,65696,True,33,7
160,3,8,131232,True,1,7
162,1,21,162,True,1,20
162,1,21,65698,True,139,20
162,1,21,131234,True,1,20
164,2,109,164,True,1,108
164,2,109,65700,True,1,60
164,2,109,131236,True,1,108
166,1,109,166,True,1,108
166,1,109,65702,True,1,94
166,1,109,131238,True,1,108
168,3,8,168,True,1,7
168,3,8,65704,True,33,7
168,3,8,131240,True,1,7
170,1,8,170,True,1,7
170,1,8,65706,True,33,7
170,1,8,131242,True,1,7
172,2,29,172,True,1,28
172,2,29,65708,True,131,28
172,2,29,131244,True,1,28
174,1,29,174,True,1,28
174,1,29,65710,True,131,28
174,1,29,131246,True,1,28
176,3,16,176,True,1,15
176,3,16,65712,True,25,15
176,3,16,131248,True,1,15
178,1,29,178,True,1,28
178,1,29,65714,True,131,28
178,1,29,131250,True,1,28
180,2,16,180,True,1,15
180,2,16,65716,True,25,15
180,2,16,131252,True,1,15
182,1,91,182,True,1,90
182,1,91,65718,True,1,48
182,1,91,131254,True,1,90
184,3,16,184,True,1,15
184,3,16,65720,True,25,15
184,3,16,131256,True,1,15
186,1,16,186,True,1,15
186,1,16,65722,True,25,15
186,1,16,131258,True,1,15
188,2,104,188,True,1,103
188,2,104,65724,True,1,67
188,2,104,131260,True,1,103
190,1,104,190,True,1,103
190,1,104,65726,True,1,81
190,1,104,131262,True,1,103
192,3,11,192,True,1,10
192,3,11,65728,True,30,10
192,3,11,131264,True,1,10
194,1,117,194,True,1,116
194,1,117,65730,True,3,96
194,1,117,131266,True,1,116
196,2,24,196,True,1,23
196,2,24,65732,True,136,23
196,2,24,131268,True,1,23
198,1,24,198,True,1,23
198,1,24,65734,True,136,23
198,1,24,131270,True,1,23
200,3,24,200,True,1,23
200,3,24,65736,True,136,23
200,3,24,131272,True,1,23
202,1,24,202,True,1,23
202,1,24,65738,True,136,23
202,1,24,131274,True,1,23
204,2,24,204,True,1,23
204,2,24,65740,True,136,23
204,2,24,131276,True,1,23
206,1,86,206,True,1,85
206,1,86,65742,True,12,47
206,1,86,131278,True,1,85
208,3,11,208,True,1,10
208,3,11,65744,True,30,10
208,3,11,131280,True,1,10
210,1,37,210,True,1,36
210,1,37,65746,True,123,36
210,1,37,131282,True,1,36
212,2,11,212,True,1,10
212,2,11,65748,True,30,10
212,2,11,131284,True,1,10
214,1,99,214,True,1,98
214,1,99,65750,True,3,57
214,1,99,131286,True,1,98
216,3,112,216,True,1,111
216,3,112,65752,True,1,97
216,3,112,131288,True,1,111
218,1,112,218,True,1,111
218,1,112,65754,True,1,97
218,1,112,131290,True,1,111
220,2,112,220,True,1,111
220,2,112,65756,True,1,78
220,2,112,131292,True,1,111
222,1,68,222,True,1,67
222,1,68,65758,True,1,66
222,1,68,131294,True,1,67
224,3,19,224,True,1,18
224,3,19,65760,True,22,18
224,3,19,131296,True,1,18
226,1,11,226,True,1,10
226,1,11,65762,True,30,10
226,1,11,131298,True,1,10
228,2,32,228,True,1,31
228,2,32,65764,True,159,31
228,2,32,131300,True,1,31
230,1,32,230,True,1,31
230,1,32,65766,True,159,31
230,1,32,131302,True,1,31
232,3,19,232,True,1,18
232,3,19,65768,True,22,18
232,3,19,131304,True,1,18
234,1,19,234,True,1,18
234,1,19,65770,True,22,18
234,1,19,131306,True,1,18
236,2,32,236,True,1,31
236,2,32,65772,True,159,31
236,2,32,131308,True,1,31
238,1,32,238,True,1,31
238,1,32,65774,True,159,31
238,1,32,131310,True,1,31
240,3,19,240,True,1,18
240,3,19,65776,True,22,18
240,3,19,131312,True,1,18
242,1,94,242,True,1,93
242,1,94,65778,True,13,36
242,1,94,131314,True,1,93
244,2,19,244,True,1,18
244,2,19,65780,True,22,18
244,2,19,131316,True,1,18
246,1,45,246,True,1,44
246,1,45,65782,True,55,26
246,1,45,131318,True,1,44
248,3,107,248,True,1,106
248,3,107,65784,True,6,106
248,3,107,131320,True,1,106
250,1,107,250,True,1,106
250,1,107,65786,True,1,66
250,1,107,131322,True,1,106
252,2,107,252,True,1,106
252,2,107,65788,True,1,85
252,2,107,131324,True,1,106
254,1,45,254,True,1,44
254,1,45,65790,True,1,42
254,1,45,131326,True,1,44
256,3,6,256,True,1,5
256,3,6,65792,True,123,5
256,3,6,131328,True,1,5
258,1,120,258,True,1,119
258,1,120,65794,True,1,115
258,1,120,131330,True,1,119
260,2,27,260,True,1,26
260,2,27,65796,True,89,26
260,2,27,131332,True,1,26
262,1,27,262,True,1,26
262,1,27,65798,True,89,26
262,1,27,131334,True,1,26
264,3,27,264,True,1,26
264,3,27,65800,True,89,26
264,3,27,131336,True,1,26
266,1,27,266,True,1,26
266,1,27,65802,True,89,26
266,1,27,131338,True,1,26
268,2,27,268,True,1,26
268,2,27,65804,True,89,26
268,2,27,131340,True,1,26
270,1,40,270,True,1,39
270,1,40,65806,True,120,39
270,1,40,131342,True,1,39
272,3,14,272,True,1,13
272,3,14,65808,True,27,13
272,3,14,131344,True,1,13
274,1,89,274,True,1,88
274,1,89,65810,True,3,83
274,1,89,131346,True,1,88
276,2,14,276,True,1,13
276,2,14,65812,True,27,13
276,2,14,131348,True,1,13
278,1,40,278,True,1,39
278,1,40,65814,True,2,39
278,1,40,131350,True,1,39
280,3,14,280,True,1,13
280,3,14,65816,True,27,13
280,3,14,131352,True,1,13
282,1,14,282,True,1,13
282,1,14,65818,True,27,13
282,1,14,131354,True,1,13
284,2,102,284,True,1,101
284,2,102,65820,True,1,41
284,2,102,131356,True,1,101
