r,v 
17976,3
17978,1
17980,2
17982,1
17984,3
17986,1
17988,2
17990,1
17992,3
17994,1
17996,2
17998,1
18000,3
18002,1
18004,2
18006,1
18008,3
18010,1
18012,2
18014,1
18016,3
18018,1
18020,2
18022,1
18024,3
18026,1
18028,2
18030,1
18032,3
18034,1
18036,2
18038,1
18040,3
18042,1
18044,2
18046,1
18048,3
18050,1
18052,2
18054,1
18056,3
18058,1
18060,2
18062,1
18064,3
18066,1
18068,2
18070,1
18072,3
18074,1
18076,2
18078,1
18080,3
18082,1
18084,2
18086,1
18088,3
18090,1
18092,2
18094,1
18096,3
18098,1
18100,2
18102,1
18104,3
18106,1
18108,2
18110,1
18112,3
18114,1
18116,2
18118,1
18120,3
18122,1
18124,2
18126,1
18128,3
18130,1
18132,2
18134,1
18136,3
18138,1
18140,2
18142,1
18144,3
18146,1
18148,2
18150,1
18152,3
18154,1
18156,2
18158,1
18160,3
18162,1
18164,2
18166,1
18168,3
18170,1
18172,2
18174,1
18176,3
18178,1
18180,2
18182,1
18184,3
18186,1
18188,2
18190,1
18192,3
18194,1
18196,2
18198,1
18200,3
18202,1
18204,2
18206,1
18208,3
18210,1
18212,2
18214,1
18216,3
18218,1
18220,2
18222,1
18224,3
18226,1
18228,2
18230,1
18232,3
18234,1
18236,2
18238,1
18240,3
18242,1
18244,2
18246,1
18248,3
18250,1
18252,2
18254,1
18256,3
18258,1
18260,2
18262,1
18264,3
18266,1
18268,2
18270,1
18272,3
18274,1
18276,2
18278,1
18280,3
18282,1
18284,2
18286,1
18288,3
18290,1
18292,2
18294,1
18296,3
18298,1
18300,2
18302,1
18304,3
18306,1
18308,2
18310,1
18312,3
18314,1
18316,2
18318,1
18320,3
18322,1
18324,2
18326,1
18328,3
18330,1
18332,2
18334,1
18336,3
18338,1
18340,2
18342,1
18344,3
18346,1
18348,2
18350,1
18352,3
18354,1
18356,2
18358,1
18360,3
18362,1
18364,2
18366,1
18368,3
18370,1
18372,2
18374,1
18376,3
18378,1
18380,2
18382,1
18384,3
18386,1
18388,2
18390,1
18392,3
18394,1
18396,2
18398,1
18400,3
18402,1
18404,2
18406,1
18408,3
18410,1
18412,2
18414,1
18416,3
18418,1
18420,2
18422,1
18424,3
18426,1
18428,2
18430,1
18432,3
18434,1
18436,2
18438,1
18440,3
18442,1
18444,2
18446,1
18448,3
18450,1
18452,2
18454,1
18456,3
18458,1
18460,2
18462,1
18464,3
18466,1
18468,2
18470,1
18472,3
18474,1
18476,2
18478,1
18480,3
18482,1
18484,2
18486,1
18488,3
18490,1
18492,2
18494,1
18496,3
18498,1
18500,2
18502,1
18504,3
18506,1
18508,2
18510,1
18512,3
18514,1
18516,2
18518,1
18520,3
18522,1
18524,2
18526,1
18528,3
18530,1
18532,2
18534,1
18536,3
18538,1
18540,2
18542,1
18544,3
18546,1
18548,2
18550,1
18552,3
18554,1
18556,2
18558,1
18560,3
18562,1
18564,2
18566,1
18568,3
18570,1
18572,2
18574,1
18576,3
18578,1
18580,2
18582,1
18584,3
18586,1
18588,2
18590,1
18592,3
18594,1
18596,2
18598,1
18600,3
18602,1
18604,2
18606,1
18608,3
18610,1
18612,2
18614,1
18616,3
18618,1
18620,2
18622,1
18624,3
18626,1
18628,2
18630,1
18632,3
18634,1
18636,2
18638,1
18640,3
18642,1
18644,2
18646,1
18648,3
18650,1
18652,2
18654,1
18656,3
18658,1
18660,2
18662,1
18664,3
18666,1
18668,2
18670,1
18672,3
18674,1
18676,2
18678,1
18680,3
18682,1
18684,2
18686,1
18688,3
18690,1
18692,2
18694,1
18696,3
18698,1
18700,2
18702,1
18704,3
18706,1
18708,2
18710,1
18712,3
18714,1
18716,2
18718,1
18720,3
18722,1
18724,2
18726,1
18728,3
18730,1
18732,2
18734,1
18736,3
18738,1
18740,2
18742,1
18744,3
18746,1
18748,2
18750,1
18752,3
18754,1
18756,2
18758,1
18760,3
18762,1
18764,2
18766,1
18768,3
18770,1
18772,2
18774,1
18776,3
18778,1
18780,2
18782,1
18784,3
18786,1
18788,2
18790,1
18792,3
18794,1
18796,2
18798,1
18800,3
18802,1
18804,2
18806,1
18808,3
18810,1
18812,2
18814,1
18816,3
18818,1
18820,2
18822,1
18824,3
18826,1
18828,2
18830,1
18832,3
18834,1
18836,2
18838,1
18840,3
18842,1
18844,2
18846,1
18848,3
18850,1
18852,2
18854,1
18856,3
18858,1
18860,2
18862,1
18864,3
18866,1
18868,2
18870,1
18872,3
18874,1
18876,2
18878,1
18880,3
18882,1
18884,2
18886,1
18888,3
18890,1
18892,2
18894,1
18896,3
18898,1
18900,2
18902,1
18904,3
18906,1
18908,2
18910,1
18912,3
18914,1
18916,2
18918,1
18920,3
18922,1
18924,2
18926,1
18928,3
18930,1
18932,2
18934,1
18936,3
18938,1
18940,2
18942,1
18944,3
18946,1
18948,2
18950,1
18952,3
18954,1
18956,2
18958,1
18960,3
18962,1
18964,2
18966,1
18968,3
18970,1
18972,2
18974,1
18976,3
18978,1
18980,2
18982,1
18984,3
18986,1
18988,2
18990,1
18992,3
18994,1
18996,2
18998,1
19000,3
19002,1
19004,2
19006,1
19008,3
19010,1
19012,2
19014,1
19016,3
19018,1
19020,2
19022,1
19024,3
19026,1
19028,2
19030,1
19032,3
19034,1
19036,2
19038,1
19040,3
19042,1
19044,2
19046,1
19048,3
19050,1
19052,2
19054,1
19056,3
19058,1
19060,2
19062,1
19064,3
19066,1
19068,2
19070,1
19072,3
19074,1
19076,2
19078,1
19080,3
19082,1
19084,2
19086,1
19088,3
19090,1
19092,2
19094,1
19096,3
19098,1
19100,2
19102,1
19104,3
19106,1
19108,2
19110,1
19112,3
19114,1
19116,2
19118,1
19120,3
19122,1
19124,2
19126,1
19128,3
19130,1
19132,2
19134,1
19136,3
19138,1
19140,2
19142,1
19144,3
19146,1
19148,2
19150,1
19152,3
19154,1
19156,2
19158,1
19160,3
19162,1
19164,2
19166,1
19168,3
19170,1
19172,2
19174,1
19176,3
19178,1
19180,2
19182,1
19184,3
19186,1
19188,2
19190,1
19192,3
19194,1
19196,2
19198,1
19200,3
19202,1
19204,2
19206,1
19208,3
19210,1
19212,2
19214,1
19216,3
19218,1
19220,2
19222,1
19224,3
19226,1
19228,2
19230,1
19232,3
19234,1
19236,2
19238,1
19240,3
19242,1
19244,2
19246,1
19248,3
19250,1
19252,2
19254,1
19256,3
19258,1
19260,2
19262,1
19264,3
19266,1
19268,2
19270,1
19272,3
19274,1
19276,2
19278,1
19280,3
19282,1
19284,2
19286,1
19288,3
19290,1
19292,2
19294,1
19296,3
19298,1
19300,2
19302,1
19304,3
19306,1
19308,2
19310,1
19312,3
19314,1
19316,2
19318,1
19320,3
19322,1
19324,2
19326,1
19328,3
19330,1
19332,2
19334,1
19336,3
19338,1
19340,2
19342,1
19344,3
19346,1
19348,2
19350,1
19352,3
19354,1
19356,2
19358,1
19360,3
19362,1
19364,2
19366,1
19368,3
19370,1
19372,2
19374,1
19376,3
19378,1
19380,2
19382,1
19384,3
19386,1
19388,2
19390,1
19392,3
19394,1
19396,2
19398,1
19400,3
19402,1
19404,2
19406,1
19408,3
19410,1
19412,2
19414,1
19416,3
19418,1
19420,2
19422,1
19424,3
19426,1
19428,2
19430,1
19432,3
19434,1
19436,2
19438,1
19440,3
19442,1
19444,2
19446,1
19448,3
19450,1
19452,2
19454,1
19456,3
19458,1
19460,2
19462,1
19464,3
19466,1
19468,2
19470,1
19472,3
19474,1
19476,2
19478,1
19480,3
19482,1
19484,2
19486,1
19488,3
19490,1
19492,2
19494,1
19496,3
19498,1
19500,2
19502,1
19504,3
19506,1
19508,2
19510,1
19512,3
19514,1
19516,2
19518,1
19520,3
19522,1
19524,2
19526,1
19528,3
19530,1
19532,2
19534,1
19536,3
19538,1
19540,2
19542,1
19544,3
19546,1
19548,2
19550,1
19552,3
19554,1
19556,2
19558,1
19560,3
19562,1
19564,2
19566,1
19568,3
19570,1
19572,2
19574,1
19576,3
19578,1
19580,2
19582,1
19584,3
19586,1
19588,2
19590,1
19592,3
19594,1
19596,2
19598,1
19600,3
19602,1
19604,2
19606,1
19608,3
19610,1
19612,2
19614,1
19616,3
19618,1
19620,2
19622,1
19624,3
19626,1
19628,2
19630,1
19632,3
19634,1
19636,2
19638,1
19640,3
19642,1
19644,2
19646,1
19648,3
19650,1
19652,2
19654,1
19656,3
19658,1
19660,2
19662,1
19664,3
19666,1
19668,2
19670,1
19672,3
19674,1
19676,2
19678,1
19680,3
19682,1
19684,2
19686,1
19688,3
19690,1
19692,2
19694,1
19696,3
19698,1
19700,2
19702,1
19704,3
19706,1
19708,2
19710,1
19712,3
19714,1
19716,2
19718,1
19720,3
19722,1
19724,2
19726,1
19728,3
19730,1
19732,2
19734,1
19736,3
19738,1
19740,2
19742,1
19744,3
19746,1
19748,2
19750,1
19752,3
19754,1
19756,2
19758,1
19760,3
19762,1
19764,2
19766,1
19768,3
19770,1
19772,2
19774,1
19776,3
19778,1
19780,2
19782,1
19784,3
19786,1
19788,2
19790,1
19792,3
19794,1
19796,2
19798,1
19800,3
19802,1
19804,2
19806,1
19808,3
19810,1
19812,2
19814,1
19816,3
19818,1
19820,2
19822,1
19824,3
19826,1
19828,2
19830,1
19832,3
19834,1
19836,2
19838,1
19840,3
19842,1
19844,2
19846,1
19848,3
19850,1
19852,2
19854,1
19856,3
19858,1
19860,2
19862,1
19864,3
19866,1
19868,2
19870,1
19872,3
19874,1
19876,2
19878,1
19880,3
19882,1
19884,2
19886,1
19888,3
19890,1
19892,2
19894,1
19896,3
19898,1
19900,2
19902,1
19904,3
19906,1
19908,2
19910,1
19912,3
19914,1
19916,2
19918,1
19920,3
19922,1
19924,2
19926,1
19928,3
19930,1
19932,2
19934,1
19936,3
19938,1
19940,2
19942,1
19944,3
19946,1
19948,2
19950,1
19952,3
19954,1
19956,2
19958,1
19960,3
19962,1
19964,2
19966,1
19968,3
19970,1
19972,2
19974,1
19976,3
19978,1
19980,2
19982,1
19984,3
19986,1
19988,2
19990,1
19992,3
19994,1
19996,2
19998,1
20000,3
20002,1
20004,2
20006,1
20008,3
20010,1
20012,2
20014,1
20016,3
20018,1
20020,2
20022,1
20024,3
20026,1
20028,2
20030,1
20032,3
20034,1
20036,2
20038,1
20040,3
20042,1
20044,2
20046,1
20048,3
20050,1
20052,2
20054,1
20056,3
20058,1
20060,2
20062,1
20064,3
20066,1
20068,2
20070,1
20072,3
20074,1
20076,2
20078,1
20080,3
20082,1
20084,2
20086,1
20088,3
20090,1
20092,2
20094,1
20096,3
20098,1
20100,2
20102,1
20104,3
20106,1
20108,2
20110,1
20112,3
20114,1
20116,2
20118,1
20120,3
20122,1
20124,2
20126,1
20128,3
20130,1
20132,2
20134,1
20136,3
20138,1
20140,2
20142,1
20144,3
20146,1
20148,2
20150,1
20152,3
20154,1
20156,2
20158,1
20160,3
20162,1
20164,2
20166,1
20168,3
20170,1
20172,2
20174,1
20176,3
20178,1
20180,2
20182,1
20184,3
20186,1
20188,2
20190,1
20192,3
20194,1
20196,2
20198,1
20200,3
20202,1
20204,2
20206,1
20208,3
20210,1
20212,2
20214,1
20216,3
20218,1
20220,2
20222,1
20224,3
20226,1
20228,2
20230,1
20232,3
20234,1
20236,2
20238,1
20240,3
20242,1
20244,2
20246,1
20248,3
20250,1
20252,2
20254,1
20256,3
20258,1
20260,2
20262,1
20264,3
20266,1
20268,2
20270,1
20272,3
20274,1
20276,2
20278,1
20280,3
20282,1
20284,2
20286,1
20288,3
20290,1
20292,2
20294,1
20296,3
20298,1
20300,2
20302,1
20304,3
20306,1
20308,2
20310,1
20312,3
20314,1
20316,2
20318,1
20320,3
20322,1
20324,2
20326,1
20328,3
20330,1
20332,2
20334,1
20336,3
20338,1
20340,2
20342,1
20344,3
20346,1
20348,2
20350,1
20352,3
20354,1
20356,2
20358,1
20360,3
20362,1
20364,2
20366,1
20368,3
20370,1
20372,2
20374,1
20376,3
20378,1
20380,2
20382,1
20384,3
20386,1
20388,2
20390,1
20392,3
20394,1
20396,2
20398,1
20400,3
20402,1
20404,2
20406,1
20408,3
20410,1
20412,2
20414,1
20416,3
20418,1
20420,2
20422,1
20424,3
20426,1
20428,2
20430,1
20432,3
20434,1
20436,2
20438,1
20440,3
20442,1
20444,2
20446,1
20448,3
20450,1
20452,2
20454,1
20456,3
20458,1
20460,2
20462,1
20464,3
20466,1
20468,2
20470,1
20472,3
20474,1
20476,2
20478,1
20480,3
20482,1
20484,2
20486,1
20488,3
20490,1
20492,2
20494,1
20496,3
20498,1
20500,2
20502,1
20504,3
20506,1
20508,2
20510,1
20512,3
20514,1
20516,2
20518,1
20520,3
20522,1
20524,2
20526,1
20528,3
20530,1
20532,2
20534,1
20536,3
20538,1
20540,2
20542,1
20544,3
20546,1
20548,2
20550,1
20552,3
20554,1
20556,2
20558,1
20560,3
20562,1
20564,2
20566,1
20568,3
20570,1
20572,2
20574,1
20576,3
20578,1
20580,2
20582,1
20584,3
20586,1
20588,2
20590,1
20592,3
20594,1
20596,2
20598,1
20600,3
20602,1
20604,2
20606,1
20608,3
20610,1
20612,2
20614,1
20616,3
20618,1
20620,2
20622,1
20624,3
20626,1
20628,2
20630,1
20632,3
20634,1
20636,2
20638,1
20640,3
20642,1
20644,2
20646,1
20648,3
20650,1
20652,2
20654,1
20656,3
20658,1
20660,2
20662,1
20664,3
20666,1
20668,2
20670,1
20672,3
20674,1
20676,2
20678,1
20680,3
20682,1
20684,2
20686,1
20688,3
20690,1
20692,2
20694,1
20696,3
20698,1
20700,2
20702,1
20704,3
20706,1
20708,2
20710,1
20712,3
20714,1
20716,2
20718,1
20720,3
20722,1
20724,2
20726,1
20728,3
20730,1
20732,2
20734,1
20736,3
20738,1
20740,2
20742,1
20744,3
20746,1
20748,2
20750,1
20752,3
20754,1
20756,2
20758,1
20760,3
20762,1
20764,2
20766,1
20768,3
20770,1
20772,2
20774,1
20776,3
20778,1
20780,2
20782,1
20784,3
20786,1
20788,2
20790,1
20792,3
20794,1
20796,2
20798,1
20800,3
20802,1
20804,2
20806,1
20808,3
20810,1
20812,2
20814,1
20816,3
20818,1
20820,2
20822,1
20824,3
20826,1
20828,2
20830,1
20832,3
20834,1
20836,2
20838,1
20840,3
20842,1
20844,2
20846,1
20848,3
20850,1
20852,2
20854,1
20856,3
20858,1
20860,2
20862,1
20864,3
20866,1
20868,2
20870,1
20872,3
20874,1
20876,2
20878,1
20880,3
20882,1
20884,2
20886,1
20888,3
20890,1
20892,2
20894,1
20896,3
20898,1
20900,2
20902,1
20904,3
20906,1
20908,2
20910,1
20912,3
20914,1
20916,2
20918,1
20920,3
20922,1
20924,2
20926,1
20928,3
20930,1
20932,2
20934,1
20936,3
20938,1
20940,2
20942,1
20944,3
20946,1
20948,2
20950,1
20952,3
20954,1
20956,2
20958,1
20960,3
20962,1
20964,2
20966,1
20968,3
20970,1
20972,2
20974,1
20976,3
20978,1
20980,2
20982,1
20984,3
20986,1
20988,2
20990,1
20992,3
20994,1
20996,2
20998,1
21000,3
21002,1
21004,2
21006,1
21008,3
21010,1
21012,2
21014,1
21016,3
21018,1
21020,2
21022,1
21024,3
21026,1
21028,2
21030,1
21032,3
21034,1
21036,2
21038,1
21040,3
21042,1
21044,2
21046,1
21048,3
21050,1
21052,2
21054,1
21056,3
21058,1
21060,2
21062,1
21064,3
21066,1
21068,2
21070,1
21072,3
21074,1
21076,2
21078,1
21080,3
21082,1
21084,2
21086,1
21088,3
21090,1
21092,2
21094,1
21096,3
21098,1
21100,2
21102,1
21104,3
21106,1
21108,2
21110,1
21112,3
21114,1
21116,2
21118,1
21120,3
21122,1
21124,2
21126,1
21128,3
21130,1
21132,2
21134,1
21136,3
21138,1
21140,2
21142,1
21144,3
21146,1
21148,2
21150,1
21152,3
21154,1
21156,2
21158,1
21160,3
21162,1
21164,2
21166,1
21168,3
21170,1
21172,2
21174,1
21176,3
21178,1
21180,2
21182,1
21184,3
21186,1
21188,2
21190,1
21192,3
21194,1
21196,2
21198,1
21200,3
21202,1
21204,2
21206,1
21208,3
21210,1
21212,2
21214,1
21216,3
21218,1
21220,2
21222,1
21224,3
21226,1
21228,2
21230,1
21232,3
21234,1
21236,2
21238,1
21240,3
21242,1
21244,2
21246,1
21248,3
21250,1
21252,2
21254,1
21256,3
21258,1
21260,2
21262,1
21264,3
21266,1
21268,2
21270,1
21272,3
21274,1
21276,2
21278,1
21280,3
21282,1
21284,2
21286,1
21288,3
21290,1
21292,2
21294,1
21296,3
21298,1
21300,2
21302,1
21304,3
21306,1
21308,2
21310,1
21312,3
21314,1
21316,2
21318,1
21320,3
21322,1
21324,2
21326,1
21328,3
21330,1
21332,2
21334,1
21336,3
21338,1
21340,2
21342,1
21344,3
21346,1
21348,2
21350,1
21352,3
21354,1
21356,2
21358,1
21360,3
21362,1
21364,2
21366,1
21368,3
21370,1
21372,2
21374,1
21376,3
21378,1
21380,2
21382,1
21384,3
21386,1
21388,2
21390,1
21392,3
21394,1
21396,2
21398,1
21400,3
21402,1
21404,2
21406,1
21408,3
21410,1
21412,2
21414,1
21416,3
21418,1
21420,2
21422,1
21424,3
21426,1
21428,2
21430,1
21432,3
21434,1
21436,2
21438,1
21440,3
21442,1
21444,2
21446,1
21448,3
21450,1
21452,2
21454,1
21456,3
21458,1
21460,2
21462,1
21464,3
21466,1
21468,2
21470,1
21472,3
21474,1
21476,2
21478,1
21480,3
21482,1
21484,2
21486,1
21488,3
21490,1
21492,2
21494,1
21496,3
21498,1
21500,2
21502,1
21504,3
21506,1
21508,2
21510,1
21512,3
21514,1
21516,2
21518,1
21520,3
21522,1
21524,2
21526,1
21528,3
21530,1
21532,2
21534,1
21536,3
21538,1
21540,2
21542,1
21544,3
21546,1
21548,2
21550,1
21552,3
21554,1
21556,2
21558,1
21560,3
21562,1
21564,2
21566,1
21568,3
21570,1
21572,2
21574,1
21576,3
21578,1
21580,2
21582,1
21584,3
21586,1
21588,2
21590,1
21592,3
21594,1
21596,2
21598,1
21600,3
21602,1
21604,2
21606,1
21608,3
21610,1
21612,2
21614,1
21616,3
21618,1
21620,2
21622,1
21624,3
21626,1
21628,2
21630,1
21632,3
21634,1
21636,2
21638,1
21640,3
21642,1
21644,2
21646,1
21648,3
21650,1
21652,2
21654,1
21656,3
21658,1
21660,2
21662,1
21664,3
21666,1
21668,2
21670,1
21672,3
21674,1
21676,2
21678,1
21680,3
21682,1
21684,2
21686,1
21688,3
21690,1
21692,2
21694,1
21696,3
21698,1
21700,2
21702,1
21704,3
21706,1
21708,2
21710,1
21712,3
21714,1
21716,2
21718,1
21720,3
21722,1
21724,2
21726,1
21728,3
21730,1
21732,2
21734,1
21736,3
21738,1
21740,2
21742,1
21744,3
21746,1
21748,2
21750,1
21752,3
21754,1
21756,2
21758,1
21760,3
21762,1
21764,2
21766,1
21768,3
21770,1
21772,2
21774,1
21776,3
21778,1
21780,2
21782,1
21784,3
21786,1
21788,2
21790,1
21792,3
21794,1
21796,2
21798,1
21800,3
21802,1
21804,2
21806,1
21808,3
21810,1
21812,2
21814,1
21816,3
21818,1
21820,2
21822,1
21824,3
21826,1
21828,2
21830,1
21832,3
21834,1
21836,2
21838,1
21840,3
21842,1
21844,2
21846,1
21848,3
21850,1
21852,2
21854,1
21856,3
21858,1
21860,2
21862,1
21864,3
21866,1
21868,2
21870,1
21872,3
21874,1
21876,2
21878,1
21880,3
21882,1
21884,2
21886,1
21888,3
21890,1
21892,2
21894,1
21896,3
21898,1
21900,2
21902,1
21904,3
21906,1
21908,2
21910,1
21912,3
21914,1
21916,2
21918,1
21920,3
21922,1
21924,2
21926,1
21928,3
21930,1
21932,2
21934,1
21936,3
21938,1
21940,2
21942,1
21944,3
21946,1
21948,2
21950,1
21952,3
21954,1
21956,2
21958,1
21960,3
21962,1
21964,2
21966,1
21968,3
21970,1
21972,2
21974,1
21976,3
21978,1
21980,2
21982,1
21984,3
21986,1
21988,2
21990,1
21992,3
21994,1
21996,2
21998,1
22000,3
22002,1
22004,2
22006,1
22008,3
22010,1
22012,2
22014,1
22016,3
22018,1
22020,2
22022,1
22024,3
22026,1
22028,2
22030,1
22032,3
22034,1
22036,2
22038,1
22040,3
22042,1
22044,2
22046,1
22048,3
22050,1
22052,2
22054,1
22056,3
22058,1
22060,2
22062,1
22064,3
22066,1
22068,2
22070,1
22072,3
22074,1
22076,2
22078,1
22080,3
22082,1
22084,2
22086,1
22088,3
22090,1
22092,2
22094,1
22096,3
22098,1
22100,2
22102,1
22104,3
22106,1
22108,2
22110,1
22112,3
22114,1
22116,2
22118,1
22120,3
22122,1
22124,2
22126,1
22128,3
22130,1
22132,2
22134,1
22136,3
22138,1
22140,2
22142,1
22144,3
22146,1
22148,2
22150,1
22152,3
22154,1
22156,2
22158,1
22160,3
22162,1
22164,2
22166,1
22168,3
22170,1
22172,2
22174,1
22176,3
22178,1
22180,2
22182,1
22184,3
22186,1
22188,2
22190,1
22192,3
22194,1
22196,2
22198,1
22200,3
22202,1
22204,2
22206,1
22208,3
22210,1
22212,2
22214,1
22216,3
22218,1
22220,2
22222,1
22224,3
22226,1
22228,2
22230,1
22232,3
22234,1
22236,2
22238,1
22240,3
22242,1
22244,2
22246,1
22248,3
22250,1
22252,2
22254,1
22256,3
22258,1
22260,2
22262,1
22264,3
22266,1
22268,2
22270,1
22272,3
22274,1
22276,2
22278,1
22280,3
22282,1
22284,2
22286,1
22288,3
22290,1
22292,2
22294,1
22296,3
22298,1
22300,2
22302,1
22304,3
22306,1
22308,2
22310,1
22312,3
22314,1
22316,2
22318,1
22320,3
22322,1
22324,2
22326,1
22328,3
22330,1
22332,2
22334,1
22336,3
22338,1
22340,2
22342,1
22344,3
22346,1
22348,2
22350,1
22352,3
22354,1
22356,2
22358,1
22360,3
22362,1
22364,2
22366,1
22368,3
22370,1
22372,2
22374,1
22376,3
22378,1
22380,2
22382,1
22384,3
22386,1
22388,2
22390,1
22392,3
22394,1
22396,2
22398,1
22400,3
22402,1
22404,2
22406,1
22408,3
22410,1
22412,2
22414,1
22416,3
22418,1
22420,2
22422,1
22424,3
22426,1
22428,2
22430,1
22432,3
22434,1
22436,2
22438,1
22440,3
22442,1
22444,2
22446,1
22448,3
22450,1
22452,2
22454,1
22456,3
22458,1
22460,2
22462,1
22464,3
22466,1
22468,2
22470,1
22472,3
22474,1
22476,2
22478,1
22480,3
22482,1
22484,2
22486,1
22488,3
22490,1
22492,2
22494,1
22496,3
22498,1
22500,2
22502,1
22504,3
22506,1
22508,2
22510,1
22512,3
22514,1
22516,2
22518,1
22520,3
22522,1
22524,2
22526,1
22528,3
22530,1
22532,2
22534,1
22536,3
22538,1
22540,2
22542,1
22544,3
22546,1
22548,2
22550,1
22552,3
22554,1
22556,2
22558,1
22560,3
22562,1
22564,2
22566,1
22568,3
22570,1
22572,2
22574,1
22576,3
22578,1
22580,2
22582,1
22584,3
22586,1
22588,2
22590,1
22592,3
22594,1
22596,2
22598,1
22600,3
22602,1
22604,2
22606,1
22608,3
22610,1
22612,2
22614,1
22616,3
22618,1
22620,2
22622,1
22624,3
22626,1
22628,2
22630,1
22632,3
22634,1
22636,2
22638,1
22640,3
22642,1
22644,2
22646,1
22648,3
22650,1
22652,2
22654,1
22656,3
22658,1
22660,2
22662,1
22664,3
22666,1
22668,2
22670,1
22672,3
22674,1
22676,2
22678,1
22680,3
22682,1
22684,2
22686,1
22688,3
22690,1
22692,2
22694,1
22696,3
22698,1
22700,2
22702,1
22704,3
22706,1
22708,2
22710,1
22712,3
22714,1
22716,2
22718,1
22720,3
22722,1
22724,2
22726,1
22728,3
22730,1
22732,2
22734,1
22736,3
22738,1
22740,2
22742,1
22744,3
22746,1
22748,2
22750,1
22752,3
22754,1
22756,2
22758,1
22760,3
22762,1
22764,2
22766,1
22768,3
22770,1
22772,2
22774,1
22776,3
22778,1
22780,2
22782,1
22784,3
22786,1
22788,2
22790,1
22792,3
22794,1
22796,2
22798,1
22800,3
22802,1
22804,2
22806,1
22808,3
22810,1
22812,2
22814,1
22816,3
22818,1
22820,2
22822,1
22824,3
22826,1
22828,2
22830,1
22832,3
22834,1
22836,2
22838,1
22840,3
22842,1
22844,2
22846,1
22848,3
22850,1
22852,2
22854,1
22856,3
22858,1
22860,2
22862,1
22864,3
22866,1
22868,2
22870,1
22872,3
22874,1
22876,2
22878,1
22880,3
22882,1
22884,2
22886,1
22888,3
22890,1
22892,2
22894,1
22896,3
22898,1
22900,2
22902,1
22904,3
22906,1
22908,2
22910,1
22912,3
22914,1
22916,2
22918,1
22920,3
22922,1
22924,2
22926,1
22928,3
22930,1
22932,2
22934,1
22936,3
22938,1
22940,2
22942,1
22944,3
22946,1
22948,2
22950,1
22952,3
22954,1
22956,2
22958,1
22960,3
22962,1
22964,2
22966,1
22968,3
22970,1
22972,2
22974,1
22976,3
22978,1
22980,2
22982,1
22984,3
22986,1
22988,2
22990,1
22992,3
22994,1
22996,2
22998,1
23000,3
23002,1
23004,2
23006,1
23008,3
23010,1
23012,2
23014,1
23016,3
23018,1
23020,2
23022,1
23024,3
23026,1
23028,2
23030,1
23032,3
23034,1
23036,2
23038,1
23040,3
23042,1
23044,2
23046,1
23048,3
23050,1
23052,2
23054,1
23056,3
23058,1
23060,2
23062,1
23064,3
23066,1
23068,2
23070,1
23072,3
23074,1
23076,2
23078,1
23080,3
23082,1
23084,2
23086,1
23088,3
23090,1
23092,2
23094,1
23096,3
23098,1
23100,2
23102,1
23104,3
23106,1
23108,2
23110,1
23112,3
23114,1
23116,2
23118,1
23120,3
23122,1
23124,2
23126,1
23128,3
23130,1
23132,2
23134,1
23136,3
23138,1
23140,2
23142,1
23144,3
23146,1
23148,2
23150,1
23152,3
23154,1
23156,2
23158,1
23160,3
23162,1
23164,2
23166,1
23168,3
23170,1
23172,2
23174,1
23176,3
23178,1
23180,2
23182,1
23184,3
23186,1
23188,2
23190,1
23192,3
23194,1
23196,2
23198,1
23200,3
23202,1
23204,2
23206,1
23208,3
23210,1
23212,2
23214,1
23216,3
23218,1
23220,2
23222,1
23224,3
23226,1
23228,2
23230,1
23232,3
23234,1
23236,2
23238,1
23240,3
23242,1
23244,2
23246,1
23248,3
23250,1
23252,2
23254,1
23256,3
23258,1
23260,2
23262,1
23264,3
23266,1
23268,2
23270,1
23272,3
23274,1
23276,2
23278,1
23280,3
23282,1
23284,2
23286,1
23288,3
23290,1
23292,2
23294,1
23296,3
23298,1
23300,2
23302,1
23304,3
23306,1
23308,2
23310,1
23312,3
23314,1
23316,2
23318,1
23320,3
23322,1
23324,2
23326,1
23328,3
23330,1
23332,2
23334,1
23336,3
23338,1
23340,2
23342,1
23344,3
23346,1
23348,2
23350,1
23352,3
23354,1
23356,2
23358,1
23360,3
23362,1
23364,2
23366,1
23368,3
23370,1
23372,2
23374,1
23376,3
23378,1
23380,2
23382,1
23384,3
23386,1
23388,2
23390,1
23392,3
23394,1
23396,2
23398,1
23400,3
23402,1
23404,2
23406,1
23408,3
23410,1
23412,2
23414,1
23416,3
23418,1
23420,2
23422,1
23424,3
23426,1
23428,2
23430,1
23432,3
23434,1
23436,2
23438,1
23440,3
23442,1
23444,2
23446,1
23448,3
23450,1
23452,2
23454,1
23456,3
23458,1
23460,2
23462,1
23464,3
23466,1
23468,2
23470,1
23472,3
23474,1
23476,2
23478,1
23480,3
23482,1
23484,2
23486,1
23488,3
23490,1
23492,2
23494,1
23496,3
23498,1
23500,2
23502,1
23504,3
23506,1
23508,2
23510,1
23512,3
23514,1
23516,2
23518,1
23520,3
23522,1
23524,2
23526,1
23528,3
23530,1
23532,2
23534,1
23536,3
23538,1
23540,2
23542,1
23544,3
23546,1
23548,2
23550,1
23552,3
23554,1
23556,2
23558,1
23560,3
23562,1
23564,2
23566,1
23568,3
23570,1
23572,2
