r,v
1476,2
1478,1
1480,3
1482,1
1484,2
1486,1
1488,3
1490,1
1492,2
1494,1
1496,3
1498,1
1500,2
1502,1
1504,3
1506,1
1508,2
1510,1
1512,3
1514,1
1516,2
1518,1
1520,3
1522,1
1524,2
1526,1
1528,3
1530,1
1532,2
1534,1
1536,3
1538,1
1540,2
1542,1
1544,3
1546,1
1548,2
1550,1
1552,3
1554,1
1556,2
1558,1
1560,3
1562,1
1564,2
1566,1
1568,3
1570,1
1572,2
1574,1
1576,3
1578,1
1580,2
1582,1
1584,3
1586,1
1588,2
1590,1
1592,3
1594,1
1596,2
1598,1
1600,3
1602,1
1604,2
1606,1
1608,3
1610,1
1612,2
1614,1
1616,3
1618,1
1620,2
1622,1
1624,3
1626,1
1628,2
1630,1
1632,3
1634,1
1636,2
1638,1
1640,3
1642,1
1644,2
1646,1
1648,3
1650,1
1652,2
1654,1
1656,3
1658,1
1660,2
1662,1
1664,3
1666,1
1668,2
1670,1
1672,3
1674,1
1676,2
1678,1
1680,3
1682,1
1684,2
1686,1
1688,3
1690,1
1692,2
1694,1
1696,3
1698,1
1700,2
1702,1
1704,3
1706,1
1708,2
1710,1
1712,3
1714,1
1716,2
1718,1
1720,3
1722,1
1724,2
1726,1
1728,3
1730,1
1732,2
1734,1
1736,3
1738,1
1740,2
1742,1
1744,3
1746,1
1748,2
1750,1
1752,3
1754,1
1756,2
1758,1
1760,3
1762,1
1764,2
1766,1
1768,3
1770,1
1772,2
1774,1
1776,3
1778,1
1780,2
1782,1
1784,3
1786,1
1788,2
1790,1
1792,3
1794,1
1796,2
1798,1
1800,3
1802,1
1804,2
1806,1
1808,3
1810,1
1812,2
1814,1
1816,3
1818,1
1820,2
1822,1
1824,3
1826,1
1828,2
1830,1
1832,3
1834,1
1836,2
1838,1
1840,3
1842,1
1844,2
1846,1
1848,3
1850,1
1852,2
1854,1
1856,3
1858,1
1860,2
1862,1
1864,3
1866,1
1868,2
1870,1
1872,3
1874,1
1876,2
1878,1
1880,3
1882,1
1884,2
1886,1
1888,3
1890,1
1892,2
1894,1
1896,3
1898,1
1900,2
1902,1
1904,3
1906,1
1908,2
1910,1
1912,3
1914,1
1916,2
1918,1
1920,3
1922,1
1924,2
1926,1
1928,3
1930,1
1932,2
1934,1
1936,3
1938,1
1940,2
1942,1
1944,3
1946,1
1948,2
1950,1
1952,3
1954,1
1956,2
1958,1
1960,3
1962,1
1964,2
1966,1
1968,3
1970,1
1972,2
1974,1
1976,3
1978,1
1980,2
1982,1
1984,3
1986,1
1988,2
1990,1
1992,3
1994,1
1996,2
1998,1
2000,3
2002,1
2004,2
2006,1
2008,3
2010,1
2012,2
2014,1
2016,3
2018,1
2020,2
2022,1
2024,3
2026,1
2028,2
2030,1
2032,3
2034,1
2036,2
2038,1
2040,3
2042,1
2044,2
2046,1
2048,3
2050,1
2052,2
2054,1
2056,3
2058,1
2060,2
2062,1
2064,3
2066,1
2068,2
2070,1
2072,3
2074,1
2076,2
2078,1
2080,3
2082,1
2084,2
2086,1
2088,3
2090,1
2092,2
2094,1
2096,3
2098,1
2100,2
2102,1
2104,3
2106,1
2108,2
2110,1
2112,3
2114,1
2116,2
2118,1
2120,3
2122,1
2124,2
2126,1
2128,3
2130,1
2132,2
2134,1
2136,3
2138,1
2140,2
2142,1
2144,3
2146,1
2148,2
2150,1
2152,3
2154,1
2156,2
2158,1
2160,3
2162,1
2164,2
2166,1
2168,3
2170,1
2172,2
2174,1
2176,3
2178,1
2180,2
2182,1
2184,3
2186,1
2188,2
2190,1
2192,3
2194,1
2196,2
2198,1
2200,3
2202,1
2204,2
2206,1
2208,3
2210,1
2212,2
2214,1
2216,3
2218,1
2220,2
2222,1
2224,3
2226,1
2228,2
2230,1
2232,3
2234,1
2236,2
2238,1
2240,3
2242,1
2244,2
2246,1
2248,3
2250,1
2252,2
2254,1
2256,3
2258,1
2260,2
2262,1
2264,3
2266,1
2268,2
2270,1
2272,3
2274,1
2276,2
2278,1
2280,3
2282,1
2284,2
2286,1
2288,3
2290,1
2292,2
2294,1
2296,3
2298,1
2300,2
2302,1
2304,3
2306,1
2308,2
2310,1
2312,3
2314,1
2316,2
2318,1
2320,3
2322,1
2324,2
2326,1
2328,3
2330,1
2332,2
2334,1
2336,3
2338,1
2340,2
2342,1
2344,3
2346,1
2348,2
2350,1
2352,3
2354,1
2356,2
2358,1
2360,3
2362,1
2364,2
2366,1
2368,3
2370,1
2372,2
2374,1
2376,3
2378,1
2380,2
2382,1
2384,3
2386,1
2388,2
2390,1
2392,3
2394,1
2396,2
2398,1
2400,3
2402,1
2404,2
2406,1
2408,3
2410,1
2412,2
2414,1
2416,3
2418,1
2420,2
2422,1
2424,3
2426,1
2428,2
2430,1
2432,3
2434,1
2436,2
2438,1
2440,3
2442,1
2444,2
2446,1
2448,3
2450,1
2452,2
2454,1
2456,3
2458,1
2460,2
2462,1
2464,3
2466,1
2468,2
2470,1
2472,3
2474,1
2476,2
2478,1
2480,3
2482,1
2484,2
2486,1
2488,3
2490,1
2492,2
2494,1
2496,3
2498,1
2500,2
2502,1
2504,3
2506,1
2508,2
2510,1
2512,3
2514,1
2516,2
2518,1
2520,3
2522,1
2524,2
2526,1
2528,3
2530,1
2532,2
2534,1
2536,3
2538,1
2540,2
2542,1
2544,3
2546,1
2548,2
2550,1
2552,3
2554,1
2556,2
2558,1
2560,3
2562,1
2564,2
2566,1
2568,3
2570,1
2572,2
2574,1
2576,3
2578,1
2580,2
2582,1
2584,3
2586,1
2588,2
2590,1
2592,3
2594,1
2596,2
2598,1
2600,3
2602,1
2604,2
2606,1
2608,3
2610,1
2612,2
2614,1
2616,3
2618,1
2620,2
2622,1
2624,3
2626,1
2628,2
2630,1
2632,3
2634,1
2636,2
2638,1
2640,3
2642,1
2644,2
2646,1
2648,3
2650,1
2652,2
2654,1
2656,3
2658,1
2660,2
2662,1
2664,3
2666,1
2668,2
2670,1
2672,3
2674,1
2676,2
2678,1
2680,3
2682,1
2684,2
2686,1
2688,3
2690,1
2692,2
2694,1
2696,3
2698,1
2700,2
2702,1
2704,3
2706,1
2708,2
2710,1
2712,3
2714,1
2716,2
2718,1
2720,3
2722,1
2724,2
2726,1
2728,3
2730,1
2732,2
2734,1
2736,3
2738,1
2740,2
2742,1
2744,3
2746,1
2748,2
2750,1
2752,3
2754,1
2756,2
2758,1
2760,3
2762,1
2764,2
2766,1
2768,3
2770,1
2772,2
2774,1
2776,3
2778,1
2780,2
2782,1
2784,3
2786,1
2788,2
2790,1
2792,3
2794,1
2796,2
2798,1
2800,3
2802,1
2804,2
2806,1
2808,3
2810,1
2812,2
2814,1
2816,3
2818,1
2820,2
2822,1
2824,3
2826,1
2828,2
2830,1
2832,3
2834,1
2836,2
2838,1
2840,3
2842,1
2844,2
2846,1
2848,3
2850,1
2852,2
2854,1
2856,3
2858,1
2860,2
2862,1
2864,3
2866,1
2868,2
2870,1
2872,3
2874,1
2876,2
2878,1
2880,3
2882,1
2884,2
2886,1
2888,3
2890,1
2892,2
2894,1
2896,3
2898,1
2900,2
2902,1
2904,3
2906,1
2908,2
2910,1
2912,3
2914,1
2916,2
2918,1
2920,3
2922,1
2924,2
2926,1
2928,3
2930,1
2932,2
2934,1
2936,3
2938,1
2940,2
2942,1
2944,3
2946,1
2948,2
2950,1
2952,3
2954,1
2956,2
2958,1
2960,3
2962,1
2964,2
2966,1
2968,3
2970,1
2972,2
2974,1
2976,3
2978,1
2980,2
2982,1
2984,3
2986,1
2988,2
